AL,ANONYMOUS_1,CA,S,V40,FE,U4,PQINDEX,U6,B,ZN,P,CU,U14,BA,U20,MG,SI,U25,U50,Y_LABEL
2,4850,170,1927,45.8,3,24478.0,13,650.0,15,752,487,6,7.0,0,0.0,3,0,0.0,0.0,0
4,1675,3153,1403,46.3,3,15914.0,5,329.0,4,680,508,44,27.0,0,6.0,2,1,2.0,2.0,0
23,1368,363,1299,44.1,7,10846.0,7,1573.0,134,670,444,5,36.0,1,7.0,0,3,2.0,0.0,0
0,1373,126,1635,49.6,3,976.0,8,114.0,18,523,366,1,3.0,0,2.0,2,2,1.0,0.0,0
4,2136,3085,2020,73.4,6,4191.0,5,2139.0,137,482,373,2,107.0,0,22.0,1,0,12.0,11.0,0
0,1743,36,5532,62.4,10,1433.0,12,266.0,6,454,381,8,27.0,0,9.0,0,2,6.0,0.0,0
5,2258,3246,9600,67.8,8,1395.0,19,278.0,162,253,202,3,17.0,1,3.0,2,2,2.0,1.0,0
2,4092,154,5258,62.9,7,20835.0,19,2225.0,19,458,339,8,14.0,0,2.0,1,5,1.0,0.0,0
3,2674,2273,7462,63.2,3,6125.0,7,591.0,2,478,482,0,16.0,0,3.0,4,4,2.0,1.0,0
0,1326,140,2458,52.2,9,3836.0,23,323.0,0,407,376,6,14.0,0,4.0,0,2,2.0,1.0,0
0,1855,141,1169,44.6,1,1852.0,5,325.0,0,681,555,24,14.0,0,4.0,0,1,3.0,2.0,0
256,2440,117,1189,45.2,5,7772.0,12,3414.0,0,658,429,9,140.0,4,13.0,4,3,4.0,2.0,1
91,2790,98,6950,68.4,3,4916.0,3,436.0,195,267,233,2,68.0,0,28.0,0,0,12.0,0.0,1
3,6922,2233,1279,44.9,2,12154.0,13,2239.0,2,615,422,7,50.0,0,6.0,2,1,3.0,3.0,0
1,3259,85,1333,58.7,5,2549.0,9,390.0,0,486,349,6,19.0,0,6.0,2,7,4.0,1.0,0
0,3100,324,2345,71.7,5,4304.0,5,576.0,132,389,295,1,10.0,0,3.0,0,2,1.0,0.0,0
0,4290,36,1979,46.4,3,3843.0,11,794.0,6,650,442,9,22.0,0,2.0,0,2,1.0,0.0,0
319,2414,43,4610,54.7,217,18775.0,46,12239.0,2,401,335,144,485.0,2,162.0,1,7,68.0,1.0,1
1,1393,2621,1362,44.1,3,4222.0,3,1483.0,89,641,456,3,100.0,4,15.0,2,4,2.0,0.0,0
4,1379,3169,2826,48.2,54,24242.0,6,19423.0,215,696,514,192,832.0,0,202.0,1,7,72.0,1.0,0
6,4024,3166,1081,44.0,5,6874.0,10,1790.0,151,624,433,12,65.0,0,10.0,2,3,3.0,0.0,0
1,2773,226,1264,44.8,3,38258.0,13,15997.0,1,700,463,10,142.0,0,13.0,3,1,12.0,0.0,0
4,5430,80,6410,61.7,12,40396.0,9,14287.0,2,384,310,31,200.0,0,32.0,2,6,15.0,4.0,0
3,2753,3387,7929,61.2,14,101626.0,12,85645.0,4,48,95,24,9683.0,0,2932.0,2,5,1411.0,871.0,0
3,3796,3129,5912,70.3,7,26601.0,25,6012.0,149,438,370,2,356.0,0,72.0,0,1,36.0,24.0,0
4,2445,26,2681,59.4,13,35687.0,12,8813.0,2,384,293,8,226.0,0,45.0,1,2,38.0,1.0,0
23,4466,29,3948,54.1,7,5322.0,17,1659.0,4,373,272,6,67.0,0,8.0,0,2,4.0,3.0,0
3,4880,2272,1377,46.3,1,4894.0,9,705.0,0,558,385,7,37.0,0,18.0,0,0,9.0,1.0,0
3,2591,275,1030,44.2,20,17016.0,19,4065.0,30,676,429,9,315.0,2,86.0,2,3,63.0,0.0,0
469,2521,38,4061,57.8,5,4804.0,7,723.0,125,441,320,41,33.0,6,4.0,0,0,2.0,0.0,1
3,1718,2403,1039,46.4,14,15231.0,15,2932.0,6,634,412,11,359.0,0,90.0,3,18,38.0,17.0,0
5,1212,2447,1854,46.2,12,19323.0,185,12549.0,3,630,421,171,1346.0,5,609.0,1,1,417.0,45.0,0
1,7321,25,3109,69.3,3,25715.0,5,1032.0,0,212,205,40,44.0,0,22.0,0,2,19.0,19.0,0
0,2805,207,2921,47.2,94,21259.0,31,9862.0,21,670,499,200,530.0,0,154.0,1,11,93.0,0.0,0
1,6422,82,5820,45.0,11,5231.0,5,429.0,3,237,183,0,36.0,0,13.0,0,1,11.0,9.0,0
2,2225,41,5629,63.1,6,34939.0,14,15213.0,179,110,118,3,241.0,2,83.0,0,0,45.0,0.0,0
3,1673,2872,4810,48.9,5,19151.0,9,6723.0,82,208,139,13,233.0,0,40.0,2,8,40.0,2.0,0
3,1375,2386,3639,46.9,3,1820.0,18,246.0,0,565,360,9,46.0,0,17.0,1,7,0.0,0.0,0
5,2113,127,1143,46.2,4,9132.0,5,326.0,18,669,442,7,32.0,0,31.0,4,1,11.0,8.0,1
6,2950,10,8589,68.8,3,3434.0,7,1385.0,38,325,243,2,115.0,0,19.0,0,2,6.0,0.0,0
1,2896,117,1367,44.1,6,14186.0,15,1539.0,8,719,475,6,83.0,0,21.0,1,2,9.0,0.0,0
2,2683,13,6191,59.3,5,7496.0,15,1398.0,132,394,290,1,101.0,0,39.0,0,2,25.0,18.0,0
4,4086,41,2588,46.6,33,24304.0,20,4299.0,191,707,506,218,41.0,0,7.0,15,2,3.0,0.0,0
5,1987,3209,2553,45.6,3,4387.0,13,702.0,22,669,470,2,21.0,2,3.0,2,2,2.0,0.0,0
1,1725,92,7877,64.7,7,9614.0,12,964.0,11,335,311,16,66.0,1,15.0,3,11,4.0,0.0,0
63,2111,44,3903,46.5,3,21984.0,8,3522.0,3,536,408,133,61.0,2,18.0,1,1,13.0,0.0,1
2,1555,120,1777,45.3,2,5266.0,7,383.0,8,586,448,106,37.0,0,8.0,3,1,6.0,0.0,0
1,1350,27,3058,50.8,6,35848.0,29,11419.0,0,432,309,19,142.0,2,23.0,2,3,11.0,6.0,0
0,2037,111,1511,45.5,6,28122.0,5,1505.0,4,668,467,44,34.0,0,12.0,2,0,12.0,3.0,0
60,4803,32,1087,44.6,3,11427.0,9,3749.0,167,648,449,10,398.0,0,77.0,2,1,45.0,0.0,1
2,3748,182,4481,68.6,7,14012.0,14,1046.0,199,308,266,6,29.0,0,14.0,0,1,9.0,0.0,0
2,1371,2696,1908,45.3,1,4909.0,7,406.0,17,725,511,123,12.0,0,7.0,0,0,4.0,0.0,0
14,9109,113,5050,43.4,4,17960.0,14,2130.0,3,349,270,1,129.0,0,39.0,0,2,35.0,2.0,0
0,2403,517,1300,44.9,5,39264.0,37,33926.0,2,662,400,8,243.0,0,24.0,1,2,22.0,0.0,1
1,5396,50,2431,44.6,34,42985.0,29,37826.0,20,539,387,15,161.0,0,24.0,3,32,13.0,0.0,0
5,2465,14,6432,65.2,24,14806.0,8,6975.0,3,163,175,14,240.0,0,28.0,5,6,11.0,9.0,0
3,1531,2261,1372,45.1,5,32213.0,5,31785.0,144,595,397,8,1489.0,0,272.0,4,1,147.0,129.0,0
3,1186,2758,1120,45.8,3,2978.0,5,232.0,9,723,437,6,12.0,3,7.0,2,1,5.0,0.0,0
6,1317,2755,2104,44.4,10,17967.0,9,2996.0,187,689,467,21,97.0,0,25.0,4,14,9.0,0.0,0
1,8121,46,4575,53.9,90,38251.0,29,10848.0,3,616,431,122,291.0,0,17.0,5,4,5.0,0.0,0
2,1562,3321,7214,67.4,18,25905.0,13,13159.0,102,69,99,12,722.0,5,78.0,0,5,46.0,5.0,0
2,1716,19,1234,43.4,82,17811.0,9,738.0,108,625,443,230,28.0,2,4.0,3,2,3.0,0.0,0
2,1363,2535,1154,43.4,2,17085.0,9,186.0,2,646,448,247,4.0,2,2.0,0,2,2.0,0.0,0
2,2088,137,1718,47.0,5,10933.0,12,1031.0,19,606,418,114,24.0,0,2.0,2,0,0.0,0.0,0
8,4451,3383,10060,63.6,7,3707.0,6,556.0,108,474,368,6,25.0,0,4.0,1,3,2.0,0.0,0
0,4501,3635,4793,62.1,2,5113.0,5,1860.0,133,333,254,36,90.0,0,10.0,1,2,6.0,4.0,0
1,2409,10,1686,45.6,4,20452.0,5,18967.0,42,686,458,37,1289.0,1,321.0,1,8,124.0,0.0,0
3,1355,2822,1812,47.1,8,5863.0,3,3471.0,2,552,383,8,311.0,2,55.0,3,3,28.0,19.0,0
3,3811,265,9276,69.5,11,4085.0,13,874.0,7,278,230,14,46.0,0,13.0,0,1,10.0,1.0,0
0,6678,12,7319,66.0,3,37242.0,1,477.0,6,362,284,7,20.0,0,4.0,0,0,3.0,0.0,0
2,3897,3164,8990,68.7,7,14489.0,12,1136.0,2,133,268,5,37.0,0,20.0,2,3,10.0,2.0,0
0,3681,136,1142,44.5,8,27406.0,14,4988.0,3,647,435,10,59.0,0,9.0,1,2,2.0,1.0,0
0,4640,14,1913,46.2,3,3072.0,8,804.0,4,718,482,2,48.0,0,15.0,2,0,11.0,8.0,0
1,1332,2650,5297,53.5,60,590162.0,138,110866.0,1,392,300,10,4181.0,0,1126.0,0,2,564.0,20.0,0
4,1303,37,4956,44.2,8,25717.0,5,24590.0,0,1194,1108,402,2829.0,2,269.0,17,13,86.0,0.0,0
5,1486,3618,2801,54.5,6,4119.0,13,1499.0,3,401,282,5,179.0,0,70.0,1,1,39.0,0.0,0
0,5540,73,1161,44.5,4,15048.0,15,2276.0,6,727,460,5,82.0,0,10.0,2,0,4.0,0.0,0
3,1151,2352,1603,45.8,5,4955.0,5,864.0,0,764,535,179,16.0,6,2.0,2,2,2.0,0.0,0
13,1913,3153,7047,64.5,7,11669.0,11,1351.0,195,489,344,4,23.0,0,4.0,0,2,3.0,1.0,1
1,1414,108,8547,62.9,14,9398.0,20,4643.0,19,446,403,73,204.0,0,24.0,0,4,7.0,2.0,0
0,1377,144,1166,44.0,3,6789.0,6,1302.0,19,678,442,114,49.0,0,17.0,0,0,2.0,0.0,0
3,8324,54,6341,60.4,22,39487.0,52,17246.0,3,390,280,8,227.0,0,28.0,3,6,10.0,3.0,0
2,1669,3347,2164,54.4,9,37130.0,13,28475.0,3,602,446,5,568.0,0,67.0,1,2,46.0,0.0,0
0,2879,46,2149,54.2,1,4165.0,8,476.0,0,298,295,23,7.0,0,6.0,2,1,3.0,1.0,0
0,1363,159,959,43.3,151,21966.0,24,2143.0,20,535,413,369,116.0,0,15.0,1,3,10.0,0.0,0
0,68537,43,2752,48.1,7,17557.0,8,5249.0,0,580,376,14,298.0,0,40.0,3,4,28.0,0.0,0
3,3088,18,1208,44.5,4,7343.0,12,4245.0,176,725,503,11,432.0,0,177.0,3,3,63.0,1.0,0
2,1445,3285,6475,69.0,147,12480.0,47,1735.0,105,64,99,10,76.0,3,17.0,17,3,15.0,10.0,0
6,1324,23,5417,60.6,16,34237.0,15,11530.0,2,608,502,56,503.0,4,197.0,7,3,75.0,0.0,0
1,3125,203,1053,43.8,40,17071.0,9,2111.0,2,613,491,151,116.0,1,10.0,6,0,4.0,0.0,0
3,1681,70,903,43.7,5,6961.0,4,292.0,8,878,598,172,20.0,1,4.0,3,2,2.0,0.0,0
2,1000,2495,1412,45.6,1,1545.0,8,441.0,4,623,478,16,15.0,0,5.0,3,0,4.0,3.0,0
1,5531,20,2130,51.5,4,361.0,5,96.0,0,431,316,7,8.0,0,2.0,3,0,2.0,1.0,0
4,5251,577,11781,35.4,19,43715.0,20,5905.0,2,1235,1139,6,9.0,2,1.0,16,18,0.0,0.0,0
17,2161,80,7867,69.9,11,2677.0,21,813.0,103,257,222,2,34.0,0,8.0,0,1,3.0,2.0,0
1,1368,3403,2675,56.4,6,7695.0,10,1117.0,126,356,277,9,42.0,5,8.0,0,0,4.0,4.0,0
1,3164,376,1304,44.7,3,9561.0,14,4500.0,56,784,530,6,284.0,0,63.0,2,4,16.0,0.0,0
4,1195,2676,6399,53.8,12,24943.0,12,17095.0,3,238,209,12,724.0,2,180.0,1,12,101.0,0.0,0
5,1130,2589,11090,45.5,100,25706.0,34,2808.0,16,462,378,80,13.0,5,5.0,5,3,2.0,0.0,0
0,1445,157,1424,41.6,6,27074.0,6,2943.0,0,735,612,25,86.0,0,19.0,0,1,16.0,0.0,0
3,4137,2996,4179,45.1,9,11168.0,24,1643.0,435,208,180,1,84.0,0,49.0,0,1,25.0,15.0,0
0,7415,31,9689,65.0,19,38626.0,41,32333.0,196,280,246,2,884.0,0,110.0,10,5,45.0,18.0,0
5,1910,3124,5699,62.0,7,12877.0,25,6004.0,147,378,277,1,21.0,0,7.0,7,0,6.0,0.0,0
0,1735,19,5479,54.5,19,26232.0,21,24551.0,0,496,359,5,3662.0,1,1031.0,3,7,1000.0,35.0,0
2,1847,13,1243,43.8,3,833.0,9,494.0,180,744,492,9,34.0,0,8.0,2,2,5.0,0.0,0
2,7314,22,6259,71.1,4,378.0,5,81.0,0,28,83,2,5.0,0,2.0,0,0,1.0,1.0,0
97,1346,37,1045,44.9,4,846.0,5,212.0,1,644,438,5,20.0,4,8.0,2,1,7.0,5.0,1
2,2841,25,6222,61.7,13,1657.0,15,158.0,184,433,308,3,17.0,0,9.0,1,3,7.0,2.0,0
2,5924,3034,5417,69.8,25,16192.0,5,2162.0,15,224,191,13,121.0,0,28.0,5,0,27.0,1.0,0
1,3403,90,8664,59.4,49,22678.0,30,411.0,6,344,280,116,10.0,0,7.0,1,4,4.0,3.0,0
0,4847,45,2330,46.0,4,14867.0,3,1404.0,2,645,425,3,39.0,0,6.0,3,1,6.0,0.0,0
1,1401,6,1128,44.8,2,6001.0,16,1630.0,150,701,445,26,185.0,0,36.0,3,1,34.0,0.0,0
4,4567,24,1531,45.7,2,12414.0,5,3539.0,0,697,482,14,114.0,0,19.0,1,0,8.0,3.0,0
1,1366,3371,1812,46.9,4,23937.0,41,11008.0,120,775,489,4,683.0,3,213.0,3,2,155.0,123.0,0
4,5298,38,1248,44.0,3,628.0,10,118.0,5,739,474,8,7.0,0,3.0,3,1,2.0,2.0,0
0,1413,81,740,43.8,1,21383.0,8,1786.0,0,419,303,0,56.0,0,11.0,0,0,7.0,3.0,0
1,1805,123,6058,68.0,17,14721.0,18,5719.0,15,364,296,15,138.0,1,55.0,3,3,33.0,0.0,0
2,5617,3265,9004,68.4,7,1600.0,5,432.0,61,202,193,2,14.0,0,13.0,8,1,5.0,5.0,0
0,1325,33,2424,57.0,24,30360.0,12,845.0,1,489,356,9,2.0,0,2.0,14,45,1.0,1.0,0
0,2419,96,1084,44.0,1,522.0,5,122.0,0,594,506,45,14.0,0,4.0,1,2,2.0,1.0,0
2,2052,3102,3339,47.3,75,29312.0,16,923.0,151,541,422,251,12.0,0,10.0,0,7,4.0,2.0,0
0,3918,3,3105,71.2,3,7987.0,13,836.0,215,293,238,18,14.0,0,10.0,0,0,8.0,0.0,0
2,1774,96,5925,71.2,3,8893.0,5,840.0,3,21,82,4,50.0,0,15.0,0,0,13.0,0.0,0
0,11003,41,8285,61.6,12,13210.0,13,1161.0,1,297,246,4,41.0,0,4.0,0,3,3.0,0.0,0
0,2113,33,5726,68.4,14,18604.0,19,668.0,0,369,326,2,14.0,0,10.0,2,3,4.0,3.0,0
1,1766,3164,2685,48.1,4,11504.0,7,7917.0,0,581,496,10,782.0,0,195.0,2,10,111.0,6.0,0
0,5944,7,1125,45.2,9,35261.0,8,7279.0,0,725,470,31,120.0,0,27.0,4,6,16.0,4.0,0
5,1354,22,3315,38.5,47,6830.0,13,1788.0,6,490,374,211,34.0,20,16.0,2,1,13.0,1.0,0
2,1709,975,5195,66.5,7,1477.0,5,221.0,5,278,226,37,10.0,0,9.0,3,15,6.0,5.0,0
4,1693,90,1040,43.1,45,5703.0,17,231.0,1,652,484,214,3.0,0,3.0,2,0,1.0,0.0,0
0,2033,123,5032,61.3,148,8780.0,48,1335.0,6,398,325,65,92.0,1,24.0,2,12,14.0,1.0,0
2,1896,2952,1312,44.7,5,227370.0,23,58368.0,3,745,460,9,3895.0,0,1081.0,2,2,600.0,520.0,0
2,1352,3022,5375,63.2,59,31765.0,68,5372.0,91,24,56,3,218.0,0,22.0,3,1,11.0,1.0,0
1,2393,2852,1451,44.7,6,15602.0,6,2383.0,14,789,542,136,82.0,0,21.0,0,3,6.0,0.0,0
0,1348,144,1107,46.5,4,6184.0,6,853.0,2,613,458,16,47.0,0,12.0,2,1,11.0,6.0,0
1,2057,42,1123,44.7,2,3513.0,16,407.0,4,633,409,9,28.0,0,8.0,4,1,5.0,0.0,0
1,3126,388,5230,63.9,12,17854.0,10,3382.0,11,363,295,5,222.0,0,37.0,4,1,17.0,1.0,0
2,4787,28,6957,68.0,2,28725.0,6,828.0,0,197,204,23,22.0,0,10.0,5,2,7.0,5.0,0
0,3498,8,3124,49.5,6,9455.0,9,1903.0,152,714,465,5,56.0,0,8.0,2,2,3.0,1.0,0
3,5057,18,2569,52.8,4,1771.0,5,613.0,2,347,273,7,28.0,0,5.0,1,2,5.0,4.0,0
4,3092,2333,1859,50.0,2,6344.0,5,2487.0,82,584,409,14,416.0,0,164.0,2,3,158.0,140.0,0
7,3772,3635,1075,44.4,1,6784.0,5,1661.0,105,587,481,4,52.0,0,18.0,2,0,14.0,12.0,0
3,2050,2712,8949,69.0,49,30772.0,44,22685.0,292,271,255,34,541.0,4,25.0,5,1,9.0,0.0,0
159,2415,38,1334,44.4,8,35900.0,13,22129.0,0,744,499,8,636.0,2,141.0,3,0,75.0,38.0,1
0,5043,45,5519,66.6,0,10316.0,11,992.0,0,333,263,7,26.0,0,4.0,0,0,3.0,2.0,0
7,3419,3505,1158,45.7,2,1199.0,6,606.0,106,704,442,5,29.0,0,4.0,1,1,4.0,3.0,0
5,1690,3474,1056,45.4,0,3233.0,7,1216.0,0,672,451,113,41.0,0,7.0,2,0,1.0,0.0,0
0,2388,235,1611,46.2,4,7421.0,7,1727.0,33,653,454,6,34.0,0,3.0,3,2,1.0,0.0,0
3,2692,3533,927,44.0,2,15033.0,12,1033.0,502,611,467,37,26.0,0,4.0,1,0,3.0,2.0,0
3,7732,3788,1345,44.3,3,5988.0,6,1366.0,394,584,420,110,66.0,0,11.0,2,0,4.0,0.0,0
2,2417,70,1889,45.0,11,8491.0,12,1856.0,3,693,424,8,66.0,0,5.0,5,20,1.0,1.0,0
6,2115,524,6133,68.6,5,41460.0,5,406.0,13,313,308,19,12.0,0,7.0,5,11,3.0,2.0,0
4,1306,9,4076,59.6,6,30423.0,22,19861.0,0,250,196,0,170.0,3,12.0,0,2,6.0,1.0,0
640,3252,16,8815,70.5,4,3361.0,18,253.0,123,420,355,1,10.0,5,3.0,2,1,1.0,0.0,1
9,2946,2501,5551,51.7,5,33165.0,12,13374.0,184,538,404,7,304.0,0,42.0,1,7,24.0,0.0,0
0,2024,129,1211,45.7,0,2435.0,14,1124.0,0,659,449,19,225.0,0,65.0,2,1,41.0,0.0,0
5,2210,73,1164,45.6,2,9265.0,4,1759.0,3,693,512,143,33.0,0,11.0,2,3,7.0,0.0,0
4,1751,151,4158,70.6,9,19678.0,7,2197.0,3,403,296,0,188.0,0,59.0,2,1,41.0,0.0,0
3,4176,43,876,44.5,0,1411.0,5,239.0,2,467,311,1,9.0,0,2.0,0,0,2.0,0.0,0
2,3813,31,5015,66.4,5,27665.0,17,4250.0,13,270,212,4,50.0,0,10.0,0,2,5.0,1.0,0
5,4372,2869,8249,72.9,21,23745.0,8,506.0,128,470,351,2,10.0,0,3.0,2,5,3.0,0.0,0
3,1786,24,1150,44.4,5,17743.0,7,5210.0,1,691,448,8,132.0,0,23.0,2,0,12.0,10.0,0
3,2022,10,1236,43.4,59,25603.0,30,5176.0,4,744,521,319,93.0,5,8.0,1,1,6.0,0.0,0
3,1709,3411,5308,66.7,7,5651.0,5,1490.0,460,239,203,39,39.0,0,4.0,3,17,2.0,1.0,0
9,1717,2557,7942,68.9,7,5262.0,9,2966.0,188,259,210,3,282.0,0,60.0,2,0,36.0,2.0,0
0,1404,23,1048,44.6,15,9474.0,6,5093.0,0,694,456,9,306.0,2,65.0,3,3,18.0,0.0,0
2,1410,52,2264,46.4,2,13438.0,17,2336.0,3,253,228,3,106.0,5,19.0,33,1,10.0,10.0,0
6,3470,3449,8870,70.9,17,52224.0,12,3090.0,153,354,310,3,70.0,0,16.0,0,3,10.0,0.0,0
0,1429,135,1317,44.4,5,66050.0,11,14152.0,21,708,462,11,70.0,0,46.0,2,2,26.0,0.0,0
4,3254,58,8611,71.3,7,26847.0,24,22036.0,7,408,355,8,1976.0,2,257.0,2,5,115.0,6.0,0
27,4627,3097,7705,66.0,8,30162.0,5,2399.0,70,416,373,3,130.0,0,39.0,0,4,36.0,15.0,1
13,1773,3647,2449,47.0,3,4009.0,1,332.0,108,642,439,3,15.0,0,3.0,2,0,1.0,0.0,0
0,5217,5,6781,72.9,8,8675.0,7,1287.0,169,207,167,8,65.0,0,18.0,0,60,13.0,1.0,0
1,3044,2926,1136,45.2,2,15156.0,19,2271.0,4,671,443,6,35.0,0,3.0,1,2,1.0,0.0,0
5,1880,3627,1197,43.3,66,16627.0,5,5159.0,401,571,398,245,74.0,0,15.0,1,2,7.0,0.0,0
191,1717,179,2160,54.6,7,33574.0,16,32063.0,5,483,343,5,925.0,1,121.0,0,1,61.0,50.0,1
1,4545,13,8060,62.7,6,2908.0,1,299.0,2,315,246,2,25.0,0,6.0,20,2,6.0,1.0,0
2,1338,3053,4559,59.2,8,1187.0,12,77.0,1,464,329,4,7.0,0,2.0,0,0,2.0,2.0,0
1,1371,13,4434,55.4,5,11212.0,14,4033.0,82,410,354,6,262.0,63,45.0,13,3,18.0,0.0,0
1,4137,118,8748,43.5,13,19451.0,26,977.0,16,656,492,5,6.0,0,2.0,17,2,1.0,1.0,0
2,4884,345,4580,58.1,15,22781.0,15,17903.0,56,453,354,6,1240.0,0,247.0,4,6,79.0,2.0,0
5,3461,3292,5536,69.4,6,9429.0,5,3389.0,10,90,120,21,138.0,0,25.0,0,12,9.0,2.0,0
0,1388,110,1085,44.7,0,14536.0,6,2786.0,0,610,487,9,66.0,0,20.0,1,1,16.0,3.0,0
1,3265,1072,7618,61.6,8,10369.0,6,3545.0,8,41,90,7,145.0,1,26.0,2,2,9.0,4.0,0
1,2085,17,1320,45.8,2,9868.0,3,3303.0,13,694,446,92,199.0,0,40.0,2,2,11.0,0.0,0
0,3156,8,8522,69.9,8,7748.0,16,1914.0,13,340,279,3,94.0,0,31.0,0,2,7.0,0.0,0
4,1201,2337,4566,68.7,3,20337.0,8,6296.0,2,226,216,3,265.0,2,44.0,0,0,13.0,1.0,0
3,2071,114,10430,68.7,15,29351.0,63,8189.0,0,82,107,2,169.0,0,61.0,2,2,47.0,0.0,0
0,3423,73,1107,45.8,2,405.0,18,167.0,3,720,454,5,12.0,0,4.0,1,1,2.0,1.0,0
7,1571,2650,1136,44.0,5,12768.0,4,3935.0,174,687,465,13,251.0,0,76.0,2,2,26.0,0.0,0
1,1364,24,6081,64.9,4,30269.0,16,2881.0,0,262,196,2,79.0,5,11.0,0,1,5.0,3.0,0
4,2160,9,6937,61.8,17,15435.0,32,2940.0,104,406,320,11,90.0,1,15.0,0,3,8.0,5.0,0
3,1714,3145,3569,54.4,8,18939.0,14,17466.0,152,353,262,27,2926.0,0,663.0,0,22,327.0,3.0,0
2,3514,3380,1074,43.2,6,12708.0,13,7687.0,0,690,487,6,632.0,0,143.0,3,6,46.0,0.0,0
547,2442,49,1270,45.4,76,13894.0,16,13321.0,169,669,477,216,769.0,6,176.0,2,8,47.0,0.0,1
3,2075,2953,5178,63.3,23,21912.0,48,21543.0,158,392,325,17,222.0,0,24.0,2,2,24.0,2.0,0
2,2262,2131,1021,46.3,1,8520.0,11,4298.0,0,498,340,6,211.0,0,28.0,0,0,11.0,4.0,0
0,1354,143,1595,47.6,2,11101.0,18,5853.0,20,677,480,4,453.0,0,113.0,2,4,44.0,1.0,0
2,1000,2493,1016,44.5,3,8137.0,15,856.0,99,667,462,4,19.0,0,4.0,0,1,2.0,0.0,0
2,2145,3464,1514,45.0,8,23269.0,15,7983.0,96,629,423,174,276.0,2,42.0,4,4,38.0,2.0,0
3,1687,2966,2616,46.5,12,2115.0,13,501.0,121,647,477,288,16.0,0,3.0,5,4,0.0,0.0,0
2,1749,3,1457,30.7,3,4625.0,9,2554.0,1,665,426,5,138.0,0,19.0,4,0,9.0,7.0,0
4,1415,3045,1222,45.3,2,2240.0,6,669.0,94,691,473,177,90.0,1,37.0,0,0,25.0,0.0,0
3,2764,3477,1480,44.3,8,8107.0,11,86.0,128,709,468,6,5.0,0,2.0,2,3,2.0,0.0,0
17,1706,12,4241,68.0,4,3255.0,5,814.0,3,241,191,0,49.0,0,14.0,0,0,10.0,10.0,0
5,2043,2798,3217,49.1,5,27521.0,21,18912.0,113,543,382,2,3261.0,0,1482.0,2,2,1381.0,47.0,0
1,1697,9,9813,68.6,3,1773.0,15,158.0,4,275,233,3,12.0,0,5.0,1,1,1.0,0.0,0
29,7605,48,3335,75.4,5,18824.0,9,4689.0,2,749,604,3,102.0,0,18.0,3,17,7.0,4.0,1
2,1676,157,6215,64.2,7,13922.0,0,1425.0,20,422,338,6,37.0,0,7.0,13,3,6.0,0.0,0
3,4895,51,1187,45.4,1,6210.0,7,953.0,0,669,486,16,52.0,0,10.0,2,0,7.0,0.0,0
1,2701,180,2953,56.5,9,28855.0,23,26236.0,2,424,313,14,3453.0,0,1083.0,1,2,1078.0,11.0,0
4,2761,3492,4307,60.9,4,5168.0,8,1472.0,166,428,336,1,52.0,0,8.0,0,0,3.0,3.0,0
0,2429,130,3308,69.3,11,10232.0,8,2484.0,17,263,217,2,102.0,0,16.0,0,2,9.0,1.0,0
0,2764,56,7696,68.3,14,882.0,8,123.0,2,229,197,2,4.0,0,4.0,1,1,1.0,0.0,0
4,3070,8,2909,49.7,2,3604.0,12,961.0,0,275,228,3,76.0,0,24.0,33,0,20.0,16.0,0
2,9098,3096,2996,49.2,7,6329.0,8,2253.0,343,508,354,4,123.0,0,21.0,2,1,9.0,4.0,0
6,1191,3309,3937,64.9,5,34853.0,5,17349.0,436,324,276,2,302.0,0,42.0,3,3,28.0,1.0,0
0,1674,181,5123,58.3,136,26083.0,46,24591.0,173,307,249,88,1497.0,0,552.0,3,6,184.0,0.0,1
0,1371,75,7298,64.3,8,7375.0,9,1671.0,10,372,300,3,85.0,0,25.0,0,2,16.0,2.0,0
1,3436,18,5407,68.1,6,11806.0,23,4780.0,0,29,39,4,336.0,0,119.0,0,2,99.0,22.0,0
15,1399,2876,2779,44.8,48,16419.0,5,3005.0,200,785,590,140,93.0,0,26.0,2,11,18.0,0.0,0
1,1779,45,1205,45.1,7,3667.0,11,733.0,0,711,427,8,40.0,0,7.0,1,3,6.0,0.0,0
0,1898,217,1246,43.6,3,4149.0,7,1210.0,17,747,484,15,42.0,0,4.0,2,0,1.0,0.0,0
4,9250,110,5939,70.3,6,27032.0,5,1532.0,6,138,182,10,75.0,0,24.0,5,9,20.0,9.0,0
0,1342,15,1145,44.9,4,20643.0,9,5749.0,176,624,426,145,114.0,2,14.0,2,2,4.0,1.0,0
2,4664,265,1895,44.0,6,34938.0,13,9466.0,35,677,476,8,81.0,1,16.0,2,2,6.0,0.0,0
0,1987,25,1197,45.6,4,31991.0,7,6516.0,2,692,477,14,96.0,0,24.0,0,2,16.0,12.0,0
4,2466,3328,475,3.4,1,21881.0,7,4120.0,474,4,4,2,128.0,0,6.0,1,1,2.0,0.0,0
2,1562,3285,3832,68.7,1,21365.0,7,5859.0,99,256,205,3,73.0,6,15.0,0,0,5.0,0.0,0
3,1601,2288,4853,51.7,6,27811.0,24,8803.0,9,644,718,11,173.0,0,28.0,3,2,12.0,4.0,0
0,2360,4,2639,65.8,0,8320.0,5,899.0,0,8,84,0,14.0,0,8.0,0,0,1.0,1.0,0
