AL,ANONYMOUS_1,CA,B,ZN,P,MO,FTBN,S,PQINDEX,FE,MG,V40,V100,FH2O,NA,K,SOOTPERCENTAGE,ANONYMOUS_2,CU,Y_LABEL
3,1486,5,173,1108,997,0,7.7,11970,14,21,9,100.2,14.0,10.0,2,3.0,0.4,200,3,0
0,6504,59,2,1106,1034,2,7.4,12050,9,11,9,86.8,12.3,7.0,2,1.0,0.2,200,2,0
33,1511,7,16,1340,1165,5,9.5,6169,9,35,16,94.7,13.0,11.0,8,2.0,0.2,200,19,0
8,2372,3667,408,1077,940,2,8.5,11490,19,9,9,110.5,14.7,12.0,4,3.0,0.3,1600,0,1
2,2001,32,2,1548,1096,240,10.7,5001,18,16,11,121.3,14.8,16.0,4,10.0,0.6,200,3,0
2,2025,98,11,1057,882,0,7.9,4730,7,14,13,99.5,13.6,11.0,3,3.0,0.5,200,1,0
2,2070,3366,350,1115,998,221,8.8,3918,20,13,13,112.7,14.0,15.0,1,3.0,0.7,200,1,0
3,2118,98,180,983,817,166,9.8,3528,5,13,433,113.5,14.2,12.0,2,3.0,0.2,200,1,0
2,1341,3733,119,1029,871,0,8.0,3951,32,15,9,106.2,14.4,10.0,3,0.0,0.5,541,0,0
0,2416,79,4,1218,1069,3,9.6,12120,4,9,17,92.9,13.5,9.0,0,1.0,0.2,200,1,0
2,1000,23,15,1127,868,40,8.2,11940,26,24,10,99.9,12.7,15.0,0,4.0,0.6,200,1,0
1,2710,3314,3,1057,866,0,9.1,3956,8,11,8,92.2,12.6,9.0,2,2.0,0.3,200,0,0
4,1828,3236,1,984,882,11,7.9,10640,14,10,20,110.7,14.3,13.0,0,2.0,0.4,200,0,0
6,1728,46,0,1303,1068,0,8.1,6178,10,29,279,92.6,13.1,13.0,2,2.0,0.8,200,3,0
0,1359,4,134,1361,1155,248,9.4,5306,13,8,10,106.2,13.4,16.0,3,3.0,0.1,200,2,0
3,5046,3570,2,1099,895,0,8.4,4122,7,30,14,110.6,14.7,10.0,4,4.0,1.1,375,3,0
0,2101,18,180,1436,1190,270,9.2,5296,13,9,12,96.9,12.7,14.0,4,3.0,0.1,200,1,0
2,1336,3110,1,1150,893,0,8.2,4172,5,8,11,95.4,13.2,9.0,2,2.0,0.1,363,0,0
2,1856,3301,3,1390,1178,0,8.6,5315,9,23,261,98.6,13.8,12.0,2,1.0,0.7,356,1,0
0,2422,134,19,1399,1186,3,9.6,6226,14,10,14,105.2,13.3,15.0,2,2.0,0.1,900,1,0
7,1683,552,19,1425,1130,260,10.1,4808,23,18,15,133.9,15.8,15.0,4,3.0,0.4,200,1,0
2,2672,2936,3,1420,1106,8,8.7,5972,16,19,243,96.9,13.5,15.0,2,0.0,0.9,381,1,0
2,8700,107,0,1032,1103,2,8.1,3733,16,9,15,102.6,13.5,13.0,6,3.0,0.4,8231,2,0
0,1699,41,3,1166,996,48,8.3,9784,5,28,90,102.2,14.0,13.0,0,2.0,0.7,539,4,0
0,3903,20,0,1491,1233,277,8.7,5226,15,16,15,112.0,14.0,15.0,3,1.0,0.7,200,21,0
13,1291,3739,6,1145,891,51,7.7,4473,11,28,21,97.7,13.0,13.0,6,2.0,0.4,200,40,0
0,1371,278,28,1082,946,57,8.3,10040,8,9,7,98.8,13.6,17.0,0,6.0,0.1,375,1,0
10,1227,3338,8,1073,747,0,7.4,3730,5,34,13,91.2,12.8,11.0,3,2.0,1.4,427,20,0
2,1529,2906,0,1135,1076,53,9.9,7563,5,30,13,121.7,14.8,16.0,1,2.0,0.8,375,2,0
3,1182,2729,14,833,806,32,6.1,9025,35,43,8,98.9,13.2,14.0,2,3.0,0.8,382,4,0
0,1346,130,18,909,830,2,6.2,5986,2,12,10,90.2,11.56,12.0,2,3.0,0.0,546,0,0
7,1936,3196,118,935,775,34,7.6,4346,137,98,19,99.4,14.2,12.0,3,3.0,0.5,200,8,0
0,2117,290,5,1258,1120,0,8.3,4151,6,8,14,91.2,12.5,10.0,3,2.0,0.1,617,1,0
6,1784,3039,124,1357,1162,1,8.4,5411,10,58,255,101.9,14.0,9.0,2,2.0,0.1,200,9,0
0,1577,185,17,1141,960,45,8.2,6395,8,10,18,95.1,12.8,14.0,4,3.0,0.0,200,2,0
5,1835,3145,83,916,895,37,9.6,2576,5,4,8,104.4,13.4,11.0,0,4.0,0.1,354,0,0
5,5493,3535,1,1092,924,0,8.2,11670,12,13,14,107.8,15.0,12.0,4,3.0,0.4,4693,0,0
3,2618,3077,141,1094,919,183,9.8,3862,8,14,489,126.5,14.9,13.0,3,4.0,0.4,200,2,0
5,1324,6,0,982,812,4,9.0,3210,10,40,11,95.6,12.9,10.0,3,3.0,0.3,200,17,0
3,1030,3496,367,1252,1129,1,8.5,7545,13,20,12,97.3,13.3,12.0,2,2.0,0.4,375,2,0
2,5699,3442,5,1011,950,0,7.7,4239,17,10,15,85.4,12.0,9.0,3,0.0,0.2,200,1,0
2,2309,3236,1,1024,858,0,8.5,3591,9,55,22,87.3,13.0,12.0,7,6.0,1.1,200,40,0
1,2432,29,2,1055,798,1,8.9,3194,14,13,237,83.2,12.6,13.0,2,6.0,0.0,200,31,0
5,1712,8,7,1228,979,11,8.3,9928,8,35,35,92.8,13.3,10.0,4,2.0,0.7,200,5,0
0,1655,3597,128,1127,895,0,7.9,4444,15,13,13,91.4,12.5,10.0,1,1.0,0.2,900,4,0
1,4817,2434,5,1053,876,10,6.7,4963,5,40,13,99.2,13.2,11.0,4,4.0,0.3,4017,9,0
3,1184,2455,13,1097,969,3,8.7,4013,17,9,10,97.0,13.0,14.0,2,2.0,0.0,384,2,0
1,2533,6,6,1099,882,0,7.3,4544,24,41,10,88.5,12.4,11.0,3,3.0,1.0,200,8,0
1,1380,3182,7,934,823,4,8.6,3821,5,10,64,99.7,13.3,9.0,6,0.0,0.1,396,5,0
2,3777,2864,25,1021,991,6,9.7,4344,5,3,11,110.1,14.4,13.0,2,2.0,0.1,200,0,0
2,1311,3722,0,951,823,3,8.6,3061,5,8,30,105.1,13.7,10.0,3,0.0,1.4,511,2,0
4,2620,3535,158,1086,906,181,9.9,3645,5,16,470,124.0,14.7,14.0,6,13.0,0.2,200,2,0
0,5170,49,2,1279,1138,221,8.7,4958,24,16,26,105.4,13.6,18.0,0,3.0,0.5,520,2,0
6,1373,3201,2,1405,1100,226,9.3,5149,13,18,14,113.3,14.4,14.0,5,3.0,0.5,200,4,0
2,1721,2372,18,1210,1028,0,11.2,10090,6,74,13,98.6,14.0,14.0,0,5.0,1.1,200,4,0
1,4616,50,2,1294,1013,5,8.6,5458,14,36,228,94.3,13.2,11.0,2,0.0,0.0,200,12,0
2,1310,3308,1,1013,847,6,8.9,4618,5,16,82,101.4,13.6,11.0,4,2.0,0.3,319,3,0
1,2062,137,17,1265,972,36,9.9,6300,12,133,12,86.3,12.3,16.0,8,5.0,1.7,200,43,0
1,4278,70,2,1514,1354,132,9.8,8672,27,54,15,116.0,15.2,16.0,10,2.0,0.6,200,4,0
6,8655,3171,102,1095,912,0,8.5,11290,11,18,6,87.1,12.4,9.0,4,0.0,0.3,200,3,0
7,2714,3094,88,1024,865,13,7.7,4659,7,57,27,96.2,13.5,12.0,5,5.0,1.1,200,51,0
0,7287,185,20,935,796,0,7.5,4163,16,19,12,86.3,12.3,11.0,2,10.0,0.7,200,2,0
1,3116,2760,395,1027,930,38,8.3,6448,9,9,13,103.8,14.6,15.0,0,1.0,0.5,200,2,0
0,3714,6,155,1035,900,36,8.4,9757,22,8,11,101.5,12.6,14.0,2,2.0,0.1,200,0,0
7,1178,4,1,1144,914,39,8.4,3656,9,5,9,94.5,13.1,15.0,0,3.0,0.0,378,0,0
0,1735,1333,36,1044,894,0,8.2,4030,5,8,12,86.6,12.1,9.0,2,2.0,0.0,568,1,0
6,5575,16,144,1418,1160,0,7.7,7014,8,17,283,101.4,14.2,11.0,2,0.0,0.3,200,2,0
0,3895,6,6,1131,975,38,8.2,10570,4,6,14,104.0,14.5,18.0,2,7.0,0.6,200,2,0
3,4454,65,0,1025,882,43,6.8,4355,48,22,15,104.7,13.7,16.0,0,1.0,0.4,200,2,0
0,3108,152,4,997,784,1,7.2,4791,17,23,15,95.7,12.7,10.0,2,2.0,0.5,200,23,0
2,1175,3856,21,1194,1024,4,9.9,10930,5,11,14,95.7,13.3,16.0,3,2.0,0.0,375,2,0
5,4871,132,4,1096,988,1,8.1,4334,6,18,15,96.8,13.3,10.0,3,2.0,0.2,550,2,0
4,1586,3307,174,980,929,2,10.8,8441,21,6,10,95.4,13.1,18.0,3,3.0,0.0,200,1,0
6,1308,3504,11,1206,985,99,7.1,10530,6,21,39,85.97,10.64,17.0,2,2.0,0.3,200,0,0
9,5317,2851,213,1013,786,166,10.1,4050,11,18,413,114.6,14.4,13.0,1,4.0,0.7,200,5,0
3,1312,3463,2,1336,1147,240,7.9,5100,19,22,15,115.3,14.3,14.0,3,10.0,0.2,200,2,0
130,4110,82,177,1041,941,41,10.0,5722,10,21,14,116.8,15.2,12.0,1,2.0,1.1,200,2,1
3,4514,2876,401,1033,915,53,9.4,4708,10,15,10,107.7,13.6,14.0,4,0.0,0.0,200,2,0
8,3090,3151,98,1133,970,17,8.6,7392,10,11,5,100.3,13.5,12.0,4,2.0,0.5,200,4,0
0,2255,84,6,1219,959,24,8.5,3579,4,69,25,101.1,13.8,12.0,7,7.0,0.5,1455,60,0
0,5411,143,175,993,877,3,8.9,3615,5,20,10,101.5,13.5,11.0,7,3.0,0.1,200,13,0
1,7727,16,194,1239,1017,217,9.3,4172,7,9,9,115.6,14.2,15.0,3,2.0,0.4,200,1,0
0,1700,141,14,1538,1227,249,8.6,6160,3,16,13,113.6,14.0,14.0,5,3.0,0.2,200,3,0
0,8737,105,6,1346,1031,227,9.2,4074,22,16,13,111.9,14.1,18.0,3,2.0,0.4,200,2,0
3,5552,56,3,1385,1197,152,9.7,7361,8,11,14,103.7,13.8,17.0,2,2.0,0.2,200,1,0
3,1459,3211,93,981,820,76,8.2,9878,8,60,10,93.6,12.8,11.0,2,2.0,1.0,659,11,0
1,1371,3188,0,1405,1231,285,9.0,5036,11,12,14,112.8,13.8,16.0,1,3.0,0.1,200,5,0
3,1704,608,32,1289,1077,231,10.2,5408,12,31,12,118.7,14.4,16.0,5,5.0,0.5,200,6,0
0,2375,50,194,1398,1117,232,9.1,5928,8,21,12,105.1,13.4,16.0,3,3.0,0.6,200,2,0
1,1500,3147,33,957,870,3,9.4,3934,5,5,12,105.2,13.8,10.0,6,0.0,0.1,352,2,0
1,1672,110,2,900,784,81,5.9,5855,7,14,1005,92.5,12.9,12.0,2,0.0,0.5,200,1,0
2,2005,2831,10,1178,987,1,8.6,6204,16,25,13,104.3,14.2,13.0,5,2.0,0.4,200,3,0
4,2075,3059,2,1129,994,40,9.0,9706,13,12,13,106.5,13.8,14.0,2,9.0,0.3,200,1,0
2,1726,10,2,927,821,2,8.1,3700,20,12,12,94.2,13.0,11.0,4,3.0,0.3,375,2,0
5,1972,3317,129,790,629,15,5.9,8204,5,19,139,89.8,12.8,9.0,3,2.0,0.0,200,4,0
4,1166,1196,6,1116,875,39,7.6,2140,6,36,849,90.2,13.0,11.0,3,6.0,1.2,366,40,0
14,2539,25,167,1097,954,38,9.2,10050,19,20,11,113.0,13.9,16.0,3,0.0,0.9,690,2,0
3,2773,3330,156,1558,1281,266,9.8,5741,15,20,38,110.4,14.0,15.0,4,3.0,0.5,200,3,0
0,5668,75,4,1032,869,45,9.5,6344,20,19,10,116.6,14.5,14.0,2,12.0,0.4,200,2,0
0,4886,15,1,1193,1011,31,6.6,3963,16,20,8,99.0,13.5,19.0,2,0.0,0.8,200,2,0
1515,5867,116,162,1207,978,198,10.0,3921,7,28,454,122.6,15.1,14.0,3,4.0,0.8,200,3,1
1,1418,9,59,1211,969,0,8.3,7876,7,27,10,90.4,13.2,13.0,6,10.0,0.3,200,1,0
9,10073,3235,388,1395,1235,255,10.7,5338,4,7,50,119.8,14.7,15.0,4,3.0,0.9,200,1,0
1,1377,2893,95,1360,1125,244,9.1,4452,9,9,74,115.3,14.1,18.0,3,2.0,0.1,200,8,0
0,3055,119,150,1101,889,1,8.5,4303,5,16,13,101.1,13.6,14.0,2,2.0,1.0,200,2,0
2,1660,3526,388,1001,916,2,9.5,7787,19,9,8,99.1,13.5,11.0,2,4.0,0.2,375,2,0
10,1525,3300,138,1115,901,175,10.4,4043,14,22,446,112.1,14.2,14.0,3,3.0,0.4,323,7,0
4,1708,2889,87,1299,1046,104,5.1,6693,18,122,566,155.3,16.8,21.0,7,4.0,0.2,908,24,0
2,3903,92,0,1400,1240,247,11.6,5198,8,12,13,114.5,14.0,14.0,4,2.0,0.1,200,2,0
3,5138,2265,3,605,790,5,3.5,15650,5,15,107,132.0,14.7,9.0,0,2.0,0.3,200,4,0
7,1171,2987,6,982,883,95,6.6,8598,11,12,5,101.3,12.8,11.0,1,4.0,0.2,200,6,0
11,2010,3298,139,1120,1029,55,9.1,8779,25,18,9,113.6,14.5,13.0,2,3.0,0.2,200,3,0
0,1359,115,10,1030,921,0,9.5,10770,11,5,10,93.6,13.0,12.0,6,4.0,0.1,200,1,0
2,4488,2303,8,1442,1152,0,8.2,6972,12,26,272,95.1,13.3,14.0,2,0.0,0.7,200,1,0
0,1368,36,122,1174,1098,12,8.1,11230,8,9,12,96.1,13.5,13.0,4,1.0,0.1,200,2,0
0,3198,100,0,994,901,40,8.2,7572,18,17,9,98.4,14.0,15.0,4,1.0,0.6,200,3,0
3,3573,2886,2,793,739,27,7.0,6980,14,13,14,118.0,14.6,9.0,0,1.0,0.1,200,2,0
3,11643,5012,488,1133,1220,40,8.5,3906,22,29,11,102.0,13.8,11.0,8,0.0,0.8,200,19,1
0,1785,86,11,1343,1183,249,11.3,4986,16,17,13,118.5,14.2,14.0,4,3.0,0.2,985,2,0
9,2435,238,135,1067,969,174,8.8,5522,20,19,12,114.1,14.0,19.0,4,3.0,0.5,200,6,0
1,3085,0,169,1467,1236,267,11.1,4645,11,18,58,117.3,14.6,13.0,4,5.0,0.5,200,4,0
2,2503,3261,10,1083,1006,0,10.3,4183,5,13,9,93.6,12.7,11.0,3,0.0,0.4,408,0,0
1,2492,238,7,1384,1158,256,9.1,5032,12,8,10,95.6,12.4,15.0,2,3.0,0.1,200,1,0
5,1168,3193,21,1386,1074,1,8.2,5972,14,20,264,102.6,13.9,17.0,0,2.0,0.4,368,0,0
2,3333,65,1,1380,1077,102,8.7,7218,8,24,8,95.9,13.6,10.0,2,0.0,0.2,200,14,0
0,4304,50,21,1204,987,10,7.8,3887,22,43,14,100.9,13.5,10.0,5,4.0,0.3,200,18,0
4,1738,2652,79,1339,1218,258,10.0,4511,5,6,11,118.8,14.4,14.0,3,1.0,0.1,200,2,0
2,4046,3097,15,1241,1061,1,10.2,8768,12,7,9,89.4,12.8,10.0,4,3.0,0.2,200,2,0
2,1341,3872,127,1031,866,0,8.3,4246,6,3,11,100.0,13.4,10.0,1,3.0,0.0,541,0,0
3,4698,2890,0,1056,906,0,7.0,7550,16,13,10,104.9,14.1,12.0,5,2.0,0.4,900,0,0
2,8763,3066,260,1121,959,21,8.9,5274,5,7,204,95.4,13.5,12.0,0,1.0,0.1,200,1,1
0,1783,230,11,1019,845,38,11.3,9954,25,71,13,112.5,15.5,238.0,2,4.0,5.1,200,3,0
5,1375,3019,3,1075,932,36,8.6,5973,10,14,27,100.6,14.0,19.0,2,1.0,0.7,200,0,0
5,5674,3743,79,871,797,1,9.8,7297,1,8,9,89.2,12.7,11.0,3,2.0,0.1,200,1,0
1,2580,2226,8,1243,1071,198,9.5,4986,6,12,49,109.8,13.9,14.0,4,1.0,0.4,200,1,0
3,1386,2798,34,999,827,9,7.9,4541,6,33,97,87.7,11.9,9.0,0,4.0,0.9,426,5,0
2,5044,60,8,1134,913,128,10.0,4928,6,25,338,120.5,15.3,13.0,3,5.0,1.1,200,2,0
0,3838,24,179,1259,995,184,7.8,5531,20,45,472,126.5,15.0,16.0,4,8.0,1.2,200,5,0
1,4516,108,7,1027,851,40,7.5,8433,21,47,11,109.3,13.8,19.0,3,1.0,1.7,200,5,0
7,2228,3060,212,1332,1193,1,6.6,11580,3,4,8,98.1,13.4,12.0,4,2.0,0.0,200,0,0
288,4595,70,5,1100,976,46,8.5,9887,19,19,10,101.6,14.0,14.0,3,7.0,0.4,550,1,1
7,1377,3150,3,1356,1114,237,10.5,4394,11,7,11,115.4,14.1,16.0,5,6.0,0.1,375,3,0
10,1437,8,0,1498,1245,262,9.7,5609,14,10,15,112.8,14.3,17.0,2,2.0,0.1,200,1,0
2,1648,2864,13,1494,1198,262,9.2,5298,10,31,12,112.4,14.2,21.0,1,4.0,0.9,200,3,0
2,3455,41,3,1015,874,1,8.6,6249,15,11,6,86.3,12.0,11.0,0,2.0,0.1,200,3,1
3,2393,11,12,1251,1204,59,8.3,8327,34,38,44,112.7,14.1,17.0,2,3.0,0.9,200,2,0
0,2291,134,20,1297,1143,253,10.3,4722,17,6,12,111.9,14.2,17.0,2,3.0,0.0,1491,1,0
0,1738,15,3,1161,977,7,8.0,4050,13,23,13,97.4,13.2,10.0,6,4.0,0.1,200,12,0
5,1000,3066,176,1028,877,2,7.3,3880,2,48,23,86.4,12.4,11.0,8,6.0,0.5,200,22,0
0,1830,338,6,893,898,3,7.4,3458,24,12,14,104.6,13.2,11.0,1,2.0,0.5,200,2,0
11,3918,40,166,1094,915,172,10.7,3971,7,19,409,128.2,15.4,15.0,5,2.0,1.4,200,0,0
2,3070,12,10,1099,962,39,7.9,9999,1,15,8,106.1,14.4,16.0,3,9.0,0.8,200,8,0
5,4817,187,4,1268,1086,29,9.7,12420,6,45,16,99.0,13.8,13.0,3,2.0,0.6,200,6,1
0,2729,89,3,1084,848,0,8.1,4174,5,36,20,106.2,14.3,11.0,4,2.0,0.8,200,1,0
7,1329,3469,11,1232,1049,0,8.6,5879,24,9,246,94.0,13.3,11.0,1,4.0,0.1,200,0,0
0,2008,11,3,1337,1163,247,9.3,3969,6,11,13,115.9,14.7,16.0,3,2.0,0.4,200,2,0
11,1634,14,71,1013,927,53,8.0,9526,22,19,10,105.1,14.2,14.0,2,6.0,0.6,200,2,0
1,1797,9,180,1314,1080,26,9.1,7389,1,60,8,88.2,12.5,15.0,4,1.0,0.6,200,17,0
0,3105,3398,99,1190,1013,41,6.5,3788,5,71,773,124.7,16.6,288.0,4,2.0,4.6,200,10,0
9,3065,29,137,1083,832,170,9.8,3700,10,27,441,127.7,15.1,15.0,4,7.0,0.6,200,6,0
52,2683,38,81,1381,1295,248,12.2,6067,9,6,15,114.8,13.9,17.0,4,2.0,0.0,200,16,1
1,4206,74,3,1072,965,31,8.2,4223,19,8,9,107.4,14.0,25.0,0,2.0,0.1,200,2,0
0,3511,141,0,1097,1005,0,8.2,4098,6,6,10,100.1,13.5,10.0,4,3.0,0.2,200,0,0
0,6639,159,137,983,874,4,8.1,3559,5,22,76,104.8,14.0,12.0,3,1.0,1.1,913,4,0
251,4154,151,6,1034,950,25,6.6,5173,13,9,13,97.6,12.4,10.0,2,3.0,0.2,200,1,1
3,3209,3456,1,1132,884,0,7.9,4376,6,11,12,105.1,14.1,10.0,3,1.0,0.4,200,0,0
4,2593,2840,185,1441,1232,263,11.2,4583,3,20,10,120.0,14.8,17.0,3,7.0,0.7,435,2,0
0,4466,20,3,40,796,0,0.0,19780,44,42,0,131.4,14.8,11.0,3,0.0,0.0,200,8,0
1,1461,144,17,1298,1044,3,9.0,3957,14,44,15,91.8,12.9,14.0,8,6.0,0.3,200,57,0
1,7163,39,0,1238,1055,0,6.7,10350,4,25,8,100.6,14.1,11.0,2,4.0,0.8,200,2,0
0,2387,82,207,1071,958,60,7.4,2981,8,16,921,103.3,13.7,11.0,3,0.0,0.6,517,1,0
0,2476,20,7,1019,839,146,10.1,3567,12,26,370,105.6,13.5,12.0,3,3.0,0.8,550,22,0
1,1427,80,229,1023,910,162,10.4,3885,7,13,392,123.5,15.0,15.0,3,2.0,0.9,200,2,0
0,2407,43,6,1043,846,3,7.5,3396,3,47,13,93.1,12.8,11.0,4,3.0,0.7,200,49,0
10,6950,53,0,1073,895,0,7.8,3732,9,78,13,98.7,13.3,32.0,4,2.0,3.8,550,23,0
17,1261,246,4,1190,1032,212,10.6,4340,4,8,10,100.1,12.9,16.0,3,2.0,0.1,200,6,0
3,3543,42,25,1156,840,141,10.4,4609,21,58,371,118.4,15.2,14.0,3,9.0,1.3,200,5,0
1,2423,40,0,1144,991,37,7.9,8019,9,17,13,102.5,13.4,15.0,1,4.0,0.5,200,3,0
4,1786,3269,124,1127,952,0,7.8,8333,5,27,14,109.5,14.3,11.0,1,3.0,0.9,200,2,0
2,2094,567,102,1134,865,42,9.3,10870,17,8,18,109.8,14.9,20.0,0,6.0,0.4,400,4,0
3,2085,3513,463,1417,1198,196,8.8,4751,15,21,12,110.5,13.3,12.0,5,0.0,0.2,200,4,0
3,1809,3241,14,1255,1097,49,6.7,3700,5,26,954,84.7,12.9,11.0,3,5.0,0.1,404,17,0
1,1681,42,1,1296,1110,217,10.1,5070,7,40,8,112.2,14.0,22.0,3,6.0,0.6,881,7,0
0,2403,2470,2,1333,1181,228,9.3,4854,15,38,29,117.2,14.5,16.0,4,2.0,1.0,547,18,0
0,1855,180,191,1429,1250,3,8.1,7177,13,27,294,96.5,13.6,13.0,1,1.0,0.7,1091,2,0
0,10182,26,0,1247,1091,24,8.8,5502,12,8,235,95.4,13.3,13.0,2,0.0,0.3,200,0,0
0,8051,20,0,729,618,0,6.2,4263,6,19,7,60.4,9.7,12.0,3,2.0,0.5,200,1,0
3,8868,2802,18,1389,1146,239,10.4,4580,6,10,10,120.6,14.5,14.0,3,6.0,0.2,200,1,0
1,2432,57,150,1090,927,24,7.7,4252,10,15,7,88.5,12.0,11.0,4,3.0,0.1,200,38,0
2,1353,2990,6,1286,1113,261,8.9,4432,10,15,11,113.2,13.7,15.0,3,2.0,0.2,200,2,0
5,1373,3057,358,977,818,18,7.9,7181,45,57,10,88.0,15.0,13.0,3,3.0,1.1,200,4,0
0,6180,62,1,1213,1062,5,8.5,11110,20,22,19,91.6,13.2,10.0,2,4.0,0.2,200,4,0
0,7255,12,0,1068,885,0,9.0,3505,9,25,18,86.5,13.4,12.0,3,4.0,0.2,200,8,0
0,2403,3628,124,1253,1048,63,7.2,2672,14,78,892,91.4,12.5,11.0,3,2.0,0.9,200,87,0
6,2811,128,0,1013,850,0,8.6,4230,5,40,12,89.6,12.5,12.0,3,3.0,0.7,200,4,0
1,3062,46,0,1095,943,2,8.2,4144,190,17,10,101.1,13.2,13.0,5,3.0,0.0,200,16,0
0,1359,32,2,1270,1092,51,6.6,3495,5,55,983,86.3,13.1,12.0,3,6.0,0.5,559,31,0
11,4210,18,202,1309,1158,237,9.8,5041,11,24,73,109.5,13.8,15.0,4,7.0,0.7,200,2,0
1,1732,3201,49,974,825,5,8.6,4487,5,22,12,102.7,13.8,12.0,2,2.0,1.1,562,3,0
2,3244,3522,12,995,1091,2,8.7,3733,5,15,9,95.1,12.8,9.0,8,0.0,0.7,384,1,0
18,5015,268,28,1467,1190,262,9.6,4835,17,4,13,118.5,14.6,18.0,2,3.0,0.0,200,2,0
1,2314,51,1,999,876,4,8.0,4698,20,20,10,94.6,12.8,10.0,2,2.0,0.3,200,0,0
4,1198,2417,2,918,754,3,7.6,3541,15,34,13,100.7,13.1,10.0,5,0.0,0.2,398,17,0
2,4929,43,3,906,963,0,7.8,4123,8,11,10,88.2,12.4,10.0,2,3.0,0.4,200,0,0
1,1870,143,20,1352,1174,238,9.4,5148,12,9,11,112.2,13.8,19.0,2,0.0,0.2,200,2,0
3,1219,2438,17,1147,1062,44,8.3,7542,18,39,11,118.4,14.9,15.0,2,3.0,1.4,419,3,0
3,1343,2679,4,1281,1156,8,9.0,6523,8,13,22,114.0,14.3,20.0,1,3.0,0.9,200,0,0
1,2386,3282,0,1088,875,0,8.7,4028,5,4,11,100.4,13.7,9.0,3,2.0,0.0,375,0,0
3,3136,2960,4,1062,899,0,8.7,10830,8,8,10,90.1,13.0,11.0,3,1.0,0.2,200,1,0
3,2366,3672,425,1769,1427,315,10.4,5461,14,26,16,119.8,14.5,15.0,5,5.0,0.2,200,5,0
0,5588,204,32,1110,939,45,8.2,10840,18,17,12,96.2,12.6,14.0,2,3.0,0.5,200,2,0
1,6903,24,173,900,1304,0,4.8,9974,15,45,171,99.7,13.0,11.0,3,5.0,1.0,200,75,0
2,1377,59,11,1348,1110,240,10.3,4048,9,7,9,114.5,14.0,16.0,3,8.0,0.0,375,1,1
8,2031,2540,193,1139,1022,1,10.4,8940,5,11,8,96.9,13.5,14.0,11,5.0,0.2,200,2,0
0,9948,517,3,1061,869,0,8.0,3925,14,9,13,97.8,13.2,10.0,1,0.0,0.2,200,2,0
5,1206,2516,1,1376,1106,247,9.4,4665,4,16,13,119.5,14.8,15.0,2,3.0,0.3,406,0,0
12,63454,3025,68,1445,1177,235,9.6,5525,9,19,15,115.9,14.4,16.0,4,5.0,1.0,550,10,0
4,1735,1899,27,1415,1116,6,9.5,6418,12,14,30,109.2,13.5,17.0,0,3.0,0.1,935,6,1
0,1338,14,39,926,860,61,9.4,6626,18,13,8,121.4,14.9,16.0,2,1.0,0.4,200,0,0
3,4800,2022,3,1276,1060,8,7.5,6705,15,12,239,94.5,13.0,14.0,3,2.0,0.3,200,2,0
2,1359,3184,0,1233,1004,49,6.6,3428,6,42,953,79.3,12.2,15.0,2,5.0,0.4,398,23,0
0,2860,3958,130,1232,1051,0,8.5,7565,31,72,8,98.2,13.2,22.0,5,3.0,1.8,835,5,0
74,6545,94,11,1036,876,10,7.9,8173,14,9,12,116.3,14.5,13.0,0,1.0,0.5,900,3,1
64,2113,67,177,1021,772,0,7.1,3831,5,45,20,102.8,13.3,15.0,4,2.0,1.5,200,4,1
1,3074,29,15,1142,987,41,8.5,8573,14,15,10,89.5,12.3,18.0,2,12.0,0.3,200,2,0
1,2063,35,1,830,731,46,9.5,8600,12,34,12,108.9,14.0,13.0,0,3.0,0.8,200,4,0
2,2050,3422,16,1028,920,0,9.8,9900,11,8,14,92.6,13.6,12.0,4,1.0,0.1,200,2,0
2,1715,2633,18,1291,1117,48,9.9,6121,6,16,128,104.8,13.9,12.0,2,2.0,0.4,200,22,0
1,1367,484,2,1287,1045,245,7.9,4621,11,8,17,110.8,13.8,17.0,0,3.0,0.2,200,6,0
0,4719,3329,116,1201,925,2,7.5,4006,22,81,34,83.4,12.6,11.0,6,8.0,1.0,200,186,0
1,3192,1998,2,1320,1047,208,9.2,4420,31,6,34,107.1,13.3,15.0,1,2.0,0.1,200,0,0
5,1477,2527,10,1366,977,230,10.4,3908,18,10,9,112.1,13.9,16.0,4,4.0,0.3,200,1,0
2,3300,73,1,921,856,0,8.5,3946,15,8,8,97.4,13.4,10.0,4,2.0,0.2,200,0,0
61,5044,268,57,921,758,43,10.0,9422,32,39,10,115.7,14.8,15.0,2,3.0,1.2,200,6,1
3,1634,209,161,1135,983,23,10.4,9122,13,9,42,85.8,12.1,12.0,4,3.0,0.0,200,4,0
22,2400,2829,132,1249,1148,14,9.0,5942,11,3,231,96.4,13.4,15.0,1,1.0,0.0,200,0,1
7,2036,10,3,1263,1112,236,9.3,4422,9,8,13,101.9,13.2,13.0,0,3.0,0.2,200,3,0
9,1699,283,7,1050,869,31,8.7,5693,7,13,4,96.4,13.5,18.0,1,0.0,1.2,200,0,0
3,4964,2776,99,1436,1192,262,9.5,5055,5,5,13,113.1,14.0,16.0,1,3.0,0.1,200,0,1
2,4001,3208,16,1060,874,40,9.3,5342,11,29,10,109.0,14.7,14.0,3,3.0,0.6,200,2,0
