CA,V40,AL,MG,ANONYMOUS_1,BA,MO,S,P,CU,B,PQINDEX,FE,ZN,NA,K,SI,MN,ANONYMOUS_2,PB,Y_LABEL
96,69.6,2,9,5275,0,0,4437,847,3,3,11,10,997,2,2.0,2,0,853,0,0
2478,73.6,2,237,2339,0,3,6430,1136,0,55,15,23,1279,2,1.0,4,0,200,0,0
124,78.6,0,148,2920,0,15,6224,1015,0,2,15,20,1178,2,1.0,7,0,604,0,0
3052,65.0,5,9,1533,0,9,4928,959,7,125,5,15,1085,19,10.0,4,7,200,0,0
2538,64.3,2,7,8338,0,3,4427,981,6,57,14,21,1065,23,5.0,5,6,200,0,0
3178,76.0,4,65,1352,0,53,6209,1006,116,102,27,11,1154,4,4.0,6,0,200,0,0
25,56.4,4,9,9695,1,0,3890,957,5,0,16,15,1127,25,0.0,3,0,200,0,1
29,56.3,283,8,2006,2,0,4252,1024,4,129,11,21,1217,24,4.0,10,0,200,2,1
49,78.4,0,246,2452,0,37,6414,1433,1,4,14,19,1601,4,1.0,4,0,200,0,0
3302,57.3,1,7,1555,4,1,3953,1057,161,93,15,21,1092,25,0.0,4,1,755,0,0
3645,54.9,9,7,2925,0,1,5125,979,264,94,19,14,1113,28,3.0,4,0,200,1,0
11,73.9,8,10,1541,2,10,4235,1062,0,2,7,8,1169,3,2.0,3,0,200,0,0
3290,77.3,3,12,1308,1,67,4942,1099,0,99,9,9,1185,2,2.0,3,0,200,0,0
3124,80.9,3,15,2613,0,254,5200,1295,1,139,20,18,1420,3,3.0,5,0,200,0,0
3450,63.5,6,9,1342,1,19,6861,832,3,121,26,37,966,14,2.0,4,0,347,1,0
147,70.6,0,89,1344,0,9,6667,1313,407,19,11,14,1494,7,3.0,5,1,544,1,0
2419,58.0,3,5,1888,0,9,3488,929,63,9,24,24,1025,22,3.0,0,2,200,0,0
76,69.3,0,13,2397,0,0,6691,990,48,2,5,8,1046,4,3.0,2,0,200,0,0
2592,71.7,10,7,1908,0,58,8382,814,424,7,8,14,890,3,3.0,4,0,200,0,0
17,91.1,0,9,5317,0,202,4655,970,313,2,7,6,1023,4,1.0,3,0,200,0,0
25,203.3,2,7,1382,8,2,8109,1132,85,4,6,8,1282,8,2.0,3,0,582,2,1
136,60.5,0,0,1308,0,2,4897,1014,6,0,13,13,1171,21,3.0,4,2,200,0,0
32,67.4,0,10,1670,0,133,4678,1092,3,164,24,23,1239,11,2.0,3,0,200,0,0
3616,77.1,2,27,4787,0,2,4462,1161,1,13,11,7,1157,5,0.0,3,0,1013,0,0
2005,72.8,2,1,8158,0,4,25610,1564,5,4,23,101,11,2,3.0,11,0,200,0,1
2613,70.5,2,9,2056,0,114,4325,1070,493,275,19,24,1281,13,2.0,4,0,200,2,0
234,66.9,3,24,1414,0,40,7854,905,0,168,5,16,1037,3,1.0,7,0,200,0,0
2758,84.2,0,12,3419,0,242,4671,1190,0,5,20,8,1207,1,3.0,4,0,200,0,0
3330,79.4,2,13,7613,0,259,5047,1387,3,30,6,21,1488,6,2.0,4,0,6850,0,0
18,69.6,0,14,3876,0,87,4680,1015,5,4,27,34,1137,2,2.0,5,0,1021,0,0
165,81.1,0,408,2054,0,148,5160,976,100,4,18,21,1083,4,5.0,6,0,200,0,0
31,56.9,3,11,3797,0,0,6596,836,3,0,12,19,957,25,4.0,5,0,200,1,0
302,69.8,1,245,1696,0,96,3874,1006,367,12,9,16,1144,14,4.0,6,0,200,0,0
2923,85.6,6,13,1674,0,286,5502,1315,0,94,10,12,1442,4,2.0,4,0,200,0,0
2107,111.9,1,6,6961,0,49,3860,906,3,3,16,15,1051,2,1.0,9,0,200,0,1
2463,68.0,4,8,1214,5,2,4288,1055,29,21,4,12,1096,23,2.0,3,0,200,0,0
2238,79.0,1,270,4486,0,8,7235,1355,1,0,18,19,1484,3,0.0,3,0,200,0,0
7,68.1,0,4,4822,0,0,5233,1043,14,5,26,21,1016,5,0.0,8,0,200,11,0
54,86.3,1,10,2050,0,207,3897,1096,2,0,26,29,1168,5,0.0,4,0,1250,0,0
3637,63.6,2,8,2694,0,0,4574,1014,3,0,129,32,1148,15,1.0,4,0,200,0,0
75,74.0,0,13,2915,0,50,5975,873,0,0,15,11,939,3,0.0,4,0,200,0,0
1902,79.4,2,184,6321,0,95,6413,1387,0,6,25,24,1535,4,0.0,4,0,200,0,0
2971,71.8,6,12,1523,0,7,5428,1096,331,248,9,16,1103,11,0.0,3,0,321,0,0
4186,68.2,4,28,2487,0,9,4166,1054,495,31,12,23,1210,23,7.0,5,0,200,2,0
18,70.8,3,19,4437,1,159,5143,1335,343,10,18,23,1267,5,3.0,4,1,490,0,1
2549,80.6,2,426,2022,0,161,4015,1009,397,4,13,15,1085,5,3.0,5,1,200,0,0
2991,75.0,0,14,1601,1,8,5811,1086,11,100,20,11,1225,7,3.0,5,1,451,0,0
3108,70.5,0,13,1502,0,44,9652,1017,5,426,29,33,1106,2,0.0,13,0,200,0,0
2256,82.8,1,11,1430,0,263,5137,1221,0,2,29,24,1350,2,2.0,3,0,200,0,0
1068,65.0,2,6,1690,2,5,3935,936,13,25,13,12,1007,22,4.0,3,0,200,0,0
280,68.5,1,10,1666,0,60,6689,1074,303,10,4,11,1225,7,0.0,4,1,550,1,0
3772,65.9,3,11,1865,0,39,7449,953,1,472,7,17,1084,5,1.0,7,0,358,0,0
3734,66.0,2,224,7356,0,0,3691,1022,3,83,10,18,1176,18,0.0,4,0,200,0,0
2667,73.4,2,31,1504,1,8,11580,1187,141,1,3,6,1317,2,1.0,3,0,550,0,0
3065,74.9,5,17,1714,0,4,8906,1019,63,139,13,9,1098,2,2.0,2,0,200,0,0
2037,75.7,3,287,6273,0,2,6964,1298,0,1,28,23,1440,2,0.0,3,0,200,0,0
214,69.7,0,20,1672,0,8,4118,1050,36,8,15,12,1189,25,6.0,3,0,200,0,0
2890,74.0,3,88,2420,0,32,2909,890,0,77,8,13,920,6,1.0,5,0,564,5,0
599,50.4,0,7,2423,0,0,12150,1068,83,17,42,52,1153,45,5.0,6,22,571,0,0
9,76.7,0,16,3895,0,49,11630,1123,4,11,16,34,1262,4,2.0,15,0,200,1,0
4473,73.0,1,9,2143,0,118,3473,974,8,11,24,23,1094,11,4.0,3,2,200,0,0
2885,57.2,3,7,1357,0,0,3971,896,5,3,31,36,1038,29,3.0,4,1,200,1,0
3082,69.9,3,8,1702,0,1,3922,912,0,30,5,10,1029,2,2.0,5,0,200,0,0
2765,69.3,7,11,1786,0,0,6288,1045,46,144,8,12,1107,9,7.0,2,0,200,0,0
62,72.3,6,5,3859,0,0,4611,659,13,6,5,6,698,2,2.0,4,0,200,0,1
3320,68.0,1,194,2295,0,10,3896,996,1,11,8,11,845,11,1.0,3,0,643,0,0
3459,76.0,5,10,4128,0,171,3967,1001,1,113,17,17,1097,7,1.0,2,0,200,0,0
5,67.5,1,26,1768,0,9,4456,1037,278,188,9,11,1181,25,2.0,3,0,505,0,0
3499,76.6,2,14,3895,0,51,12070,1077,3,546,19,34,1177,2,4.0,14,1,200,0,0
2832,67.0,4,125,1517,0,0,4352,1116,2,2,14,20,1203,13,0.0,4,0,200,0,0
2817,111.9,2,19,1599,0,3,4094,960,0,3,5,4,1054,0,2.0,4,0,200,0,0
4,70.9,3,13,1730,0,51,9029,1050,0,125,1,11,1128,3,0.0,5,0,200,0,0
3319,62.7,2,12,1737,0,27,8676,860,5,138,20,37,943,9,2.0,8,0,200,3,0
2769,70.0,1,12,7652,0,0,4441,1133,0,101,6,12,1228,3,0.0,3,0,200,0,0
2934,35.5,0,1,1380,0,0,999,216,9,3,39,84,18,5,2.0,4,1,200,0,0
40,80.0,1,11,7589,0,162,3895,1009,280,4,3,13,1135,7,2.0,3,1,200,0,0
66,73.2,0,87,5550,0,16,7321,847,24,4,134,56,806,4,0.0,6,5,200,0,0
49,60.4,1,13,3226,0,33,9955,1023,6,2,35,51,1114,10,3.0,10,2,200,1,0
1138,58.9,1,816,1386,0,34,3585,939,2,0,8,10,1136,32,2.0,5,0,586,0,0
57,32.9,0,0,1701,0,0,1008,285,2,136,5,40,13,2,1.0,2,0,901,0,0
2812,79.6,1,13,5868,0,271,5297,1330,1,81,17,17,1414,3,2.0,4,0,518,0,0
3581,77.9,4,17,1371,0,42,7392,1046,18,15,14,10,1188,4,3.0,7,0,372,0,0
3531,83.0,6,366,1690,0,141,3789,943,249,145,10,16,1081,8,5.0,6,0,200,0,0
3314,70.4,3,11,7613,0,16,4195,967,0,2,13,11,1066,2,2.0,4,0,6850,0,0
8,65.8,1,13,1737,0,26,8300,880,4,18,23,29,964,8,2.0,7,0,200,2,0
