CA,ANONYMOUS_1,AL,PQINDEX,P,FE,V40,ZN,B,S,SI,MO,NA,CU,ANONYMOUS_2,BA,MG,K,CR,MN,Y_LABEL
2966,2376,1,50,2725,67,135.7,15,2,34690,2,0,2,0,533,0,0,0.0,0,0,0
57,2065,2,349,1002,175,123.6,54,2051,18220,2,4,5,16,1265,0,11,0.0,3,2,0
2896,1156,6,120,920,53,137.4,12,16,21110,6,0,3,0,356,2,1,0.0,0,1,0
446,2060,3,16,960,19,137.0,9,77,19870,2,0,0,2,200,0,0,1.0,0,0,0
3088,3499,3,297,261,158,136.0,14,16,17320,5,0,4,0,200,0,1,2.0,4,3,0
717,1714,2,434,1008,62,138.5,7,115,20890,14,0,0,0,914,1,0,2.0,2,0,0
3284,1322,4,24,434,39,141.8,26,113,21690,4,1,0,4,200,1,34,1.0,0,0,0
2566,1158,4,357,212,470,151.5,217,7,5592,10,0,0,386,375,2,0,3.0,9,8,0
37,4516,0,124,259,139,159.1,16,17,16720,7,0,0,0,200,0,2,1.0,1,2,1
132,4101,1,50,988,30,154.4,198,19,18070,7,0,1,0,501,0,4,2.0,0,0,0
3178,1530,3,828,198,596,118.8,102,140,6515,6,0,0,161,200,0,0,1.0,9,8,0
298,2452,12,159,1026,136,59.4,1158,7,3777,20,0,4,2,1652,0,10,0.0,0,2,0
68,2098,1,922,2212,622,155.6,47,0,26180,10,32,1,1,1298,0,2,8.0,4,19,0
7,2883,1,66,863,293,135.9,21,185,21940,15,15,2,0,200,0,2,0.0,2,10,0
3398,2407,4,433,1169,212,70.4,1360,163,10440,25,6,37,11,200,0,9,2.0,4,4,0
78,4463,0,41,2529,1,142.7,4,6,39120,0,0,2,0,849,0,1,0.0,0,0,0
121,1784,2,126,976,175,59.3,1267,2,7931,11,3,2,3,984,1,5,1.0,2,2,0
187,3457,2,365,384,60,148.1,15,26,19300,1,0,0,0,200,0,6,1.0,0,0,0
41,11110,146,610,318,1674,139.9,22,6,30390,429,0,3,4,200,0,4,20.0,12,11,1
74,1690,0,646,1079,1718,125.9,7,2,21390,398,2,4,3,550,0,9,5.0,8,12,0
3267,2014,7,720,2136,3561,126.9,13,107,24980,21,25,7,9,200,0,0,0.0,21,32,0
142,1349,0,141,1465,65,138.3,55,22,18450,10,6,3,0,200,0,12,1.0,1,1,0
227,1718,6,40,2494,200,139.3,35,6,39540,3,15,6,3,200,0,0,1.0,1,2,0
135,2111,1,1249,1128,2010,69.2,1302,14,9724,38,13,7,14,1311,0,10,0.0,10,18,0
145,1392,1,363,1384,82,132.7,23,14,19900,4,2,0,1,200,0,0,0.0,0,0,0
3011,2021,1,83,994,103,57.5,1168,6,8253,10,2,2,3,200,0,7,1.0,1,1,0
3028,3918,2,320,58,341,143.7,48,16,1504,6,0,6,59,200,0,1,1.0,5,5,0
2708,1175,3,463,405,300,146.6,48,0,17280,48,2,2,1,200,2,4,2.0,3,3,0
1,2422,1,2225,2266,134,151.9,73,85,30740,3,0,1,5,200,0,12,1.0,0,2,0
3391,2120,2,114,743,207,129.9,43,103,19760,8,0,2,7,200,0,1,0.0,2,2,0
53,3277,265,174,2063,608,185.0,24,180,25780,16,5,2,1,200,0,3,0.0,6,5,1
3463,2208,1,147,993,110,116.3,947,109,6530,47,0,2,469,708,1,11,2.0,0,2,0
4,2064,7,88,241,49,125.2,14,0,18260,35,0,2,0,575,0,12,2.0,2,0,0
227,5379,1,1064,1114,67,125.4,33,7,21480,4,2,0,3,200,0,4,15.0,2,1,0
328,2734,4,324,1194,372,63.2,1211,20,7276,17,6,16,4,1054,0,12,2.0,5,8,0
2137,2218,1,515,920,175,121.8,79,9,18070,13,0,0,10,385,0,2,0.0,1,0,0
2662,1710,0,559,1048,539,60.5,1241,33,8307,21,4,0,6,200,0,2,0.0,6,4,0
8,3558,1,237,496,103,139.6,20,0,14680,2,1,5,0,200,0,0,0.0,1,2,0
149,2096,1,422,2427,118,146.8,31,14,30040,11,3,2,4,1296,0,2,1.0,1,2,0
62,4867,0,2119,1067,539,126.3,12,39,20550,182,0,5,2,200,0,10,7.0,9,6,0
3893,1333,4,881,446,225,165.7,26,406,17820,7,0,9,0,317,0,2,5.0,4,3,0
251,3300,180,1690,1068,191,118.9,202,123,20190,58,27,7,2,200,2,2,3.0,2,2,1
2618,1700,3,59,937,35,122.8,34,1,18100,2,4,4,0,200,1,0,0.0,0,0,0
2351,7331,4,17622,222,294,148.7,31,3,21130,10,1,0,2,200,1,0,0.0,4,5,0
91,3495,0,28,2460,86,151.8,47,111,37460,3,9,5,1,540,0,2,1.0,1,2,0
2961,2126,0,10091,2067,207,143.5,22,4,25490,12,0,4,9,200,0,0,2.0,4,4,0
3238,1608,5,2660,921,344,127.9,78,128,17840,11,0,2,10,200,0,3,2.0,7,6,0
45,6747,0,159,153,118,124.5,100,4,4818,4,0,0,143,697,0,0,2.0,2,4,0
24,4471,13,5112,786,2338,142.2,9,92,20800,1193,0,30,7,200,0,14,44.0,21,22,0
131,2030,9,80,1085,75,64.3,1262,2,3861,7,5,0,14,530,0,10,1.0,0,2,0
134,2007,0,1462,237,865,191.1,7,1,21510,259,1,0,2,1250,0,2,7.0,9,6,0
3381,2375,6,73,1119,91,125.6,8,149,20490,8,0,0,0,200,0,0,0.0,2,0,0
2559,1485,5,24,1087,30,138.1,11,93,23920,1,0,2,0,200,0,4,4.0,0,0,0
144,1367,0,1406,802,1602,117.6,328,21,22220,579,4,27,6,567,2,133,16.0,20,11,0
2823,1172,4,331,653,182,96.1,10,3,15930,4,0,0,0,372,3,3,0.0,2,1,0
43,5368,0,77,446,148,161.3,16,0,23210,3,0,0,13,200,0,1,2.0,2,2,0
2,1377,3,621,312,159,185.1,51,195,9419,7,5,11,2,200,0,0,309.0,4,3,0
122,1633,4,10,258,20,152.4,35,17,14440,3,1,2,0,833,0,2,0.0,0,0,0
20,1721,0,45,753,37,132.9,3,2,17630,2,0,0,2,200,1,0,0.0,2,0,0
3038,5546,3,41,988,33,129.2,20,400,20990,0,2,4,20,200,0,1,0.0,1,1,0
342,3646,3,277,282,122,157.6,90,34,18380,13,2,2,0,200,0,1,1.0,1,1,1
3255,4164,6,312,1042,32,125.9,2,432,21750,0,0,0,0,200,0,0,0.0,0,0,0
62,2038,0,27,700,79,123.6,260,169,21440,6,25,3,1,200,0,3,0.0,0,0,0
224,1730,2,188,969,306,58.7,1181,9,8914,13,3,4,26,200,1,6,1.0,0,6,0
3583,2260,3,808,824,204,128.1,140,3,14710,72,0,0,0,200,0,26,2.0,2,2,0
25,2003,15,226,2389,69,139.3,156,44,36820,7,1,6,3,200,2,29,36.0,1,1,0
3674,9250,2,106,1136,64,113.1,1281,120,3766,49,0,15,8,746,0,11,1.0,0,0,0
140,2145,2,37,2502,39,143.4,11,4,28670,0,1,2,0,200,0,0,0.0,0,0,1
85,5698,1,126,2551,275,141.3,7,4,41350,2,2,1,1,200,0,0,0.0,0,2,0
168,1763,3,52,2220,172,128.9,168,14,30950,10,6,6,8,200,0,2,0.0,3,2,0
113,2102,0,1369,204,1385,119.2,280,8,4924,24,0,2,546,200,0,0,2.0,29,22,0
3250,3334,2,1769,2204,64,136.3,34,396,36520,5,8,1,120,200,0,2,0.0,0,0,0
3499,1558,5,268,1071,126,137.3,20,151,21430,48,0,0,0,200,0,0,0.0,3,2,0
42,2031,0,53,1548,613,141.8,51,2,24867,3,6,1,6,200,0,4,1.0,3,5,1
3324,2485,6,2643,257,413,186.6,14,151,6603,166,0,5,1,200,0,2,12.0,9,8,0
3127,2398,5,810,2076,1757,127.7,31,142,26280,8,14,0,4,200,0,0,0.0,11,17,0
64,1210,1,139,498,115,138.5,10,51,17430,0,0,4,0,410,50,2,0.0,2,2,0
2569,1460,2,601,472,300,133.5,29,5,14410,73,0,14,1,660,1,4,7.0,4,4,0
134,1757,0,238,2851,1269,140.4,11,18,38590,4,6,3,3,957,0,0,0.0,3,10,0
3054,3075,2,239,1197,110,109.1,1448,2,7425,53,0,0,11,200,0,10,0.0,1,3,0
104,7677,0,2224,1039,1034,46.7,1233,15,3724,14,40,5,14,200,0,9,2.0,7,21,0
19,4538,0,115,1121,231,71.5,1321,0,10840,31,11,17,12,200,0,9,2.0,6,8,1
0,1366,14,83,195,55,155.7,59,2,16920,14,0,2,0,200,4,2,1.0,0,1,0
67,1634,0,165,403,80,140.0,14,2,25830,3,0,0,0,200,0,0,1.0,0,0,0
2507,1683,1,169,958,255,59.4,1159,10,6800,19,5,2,6,200,0,11,0.0,2,3,0
2554,1666,3,75,2569,187,145.0,32,11,33330,5,2,6,3,375,0,2,2.0,0,1,0
3029,1375,4,676,755,63,142.7,13,131,16050,4,1,2,0,200,0,0,56.0,1,0,0
19,1699,0,279,718,151,128.3,160,2,19130,25,0,2,1,200,0,3,0.0,2,2,0
50,3085,0,47,306,74,143.2,71,100,19360,7,0,10,0,488,0,2,3.0,0,0,0
37,1441,6,2414,1249,1540,130.7,89,105,18670,764,2,3,160,200,2,10,12.0,14,16,0
0,9098,0,45,1153,68,57.6,1256,3,9126,13,2,3,9,200,0,10,2.0,0,2,0
2468,2014,1,226,1935,542,122.7,25,34,26780,5,4,2,3,200,0,3,0.0,3,4,0
126,1395,2,628,329,129,128.5,25,8,21670,16,0,2,12,595,0,2,2.0,3,2,0
224,2369,0,1156,210,610,138.6,45,191,5888,10,0,2,56,200,0,1,1.0,9,8,0
77,4583,0,248,268,432,143.6,70,11,25010,4,0,2,112,200,0,0,0.0,9,9,0
14,5210,1,1660,623,976,131.0,31,2,25270,272,3,6,4,200,0,49,8.0,18,21,0
2649,1350,3,3482,1176,337,132.6,24,183,14340,68,0,6,1,200,0,3,3.0,4,5,0
57,3146,4,1729,326,3480,158.9,24,0,20420,2330,0,46,14,616,0,33,105.0,30,29,0
2958,1199,7,1187,523,153,133.5,10,2,18990,7,0,3,1,200,3,0,5.0,3,2,0
56,39411,0,208,383,97,159.8,37,2,18350,7,0,8,0,200,0,0,0.0,1,0,0
3256,3639,2,116,949,68,117.1,1223,111,4193,66,0,15,17,594,0,11,1.0,0,2,0
3026,1785,9,511,1165,154,125.8,17,143,18830,13,0,2,6,200,0,0,0.0,3,3,0
2754,1335,4,114,213,90,256.6,15,5,18410,5,0,1,0,200,3,2,4.0,0,0,0
46,3797,1,9296,855,238,134.6,20,30,16780,20,0,3,16,200,0,1,2.0,4,4,0
51,2088,0,186,1057,152,59.3,1375,4,3739,9,4,18,3,200,0,9,0.0,3,5,0
163,1664,1,114,1022,103,60.07,1224,6,8010,22,1,0,1,550,1,4,1.0,1,2,0
2856,1560,7,10829,914,1594,273.7,7,4,43610,3459,5,42,21,200,0,82,391.0,66,78,0
45,5153,4,1515,492,2263,140.2,19,5,16410,539,0,6,8,200,0,14,21.0,29,19,0
3786,7321,2,127,1075,115,122.0,1319,129,4842,68,7,26,3,531,0,12,0.0,0,1,0
8,2488,4,209,2271,179,147.3,28,177,27020,5,1,0,4,200,0,0,0.0,3,1,0
3980,5140,1,62,1352,43,113.7,1385,130,5444,68,0,19,2,558,0,12,0.0,0,0,0
94,7440,2,369,496,16,170.6,29,20,20570,3,0,0,0,200,0,0,0.0,0,0,0
58,2470,0,20,775,16,141.4,24,147,20780,3,0,0,0,200,0,19,0.0,0,0,0
18,3066,10,132,2482,193,131.7,43,3,36610,4,5,2,96,200,2,56,1.0,1,3,0
52,3053,2,15,554,0,139.4,28,4,18230,0,1,2,0,200,0,1,2.0,0,0,0
3563,2219,11,52,2303,105,123.0,10,31,27790,1,2,0,2,375,0,0,1.0,0,0,0
2352,4537,4,16,211,11,140.9,19,308,21040,1,0,0,5,200,0,2,1.0,0,0,0
21,1723,0,622,1137,1028,126.7,31,5,22150,119,0,4,3,533,0,7,4.0,13,12,0
3029,6649,2,489,916,573,147.3,28,4,26400,30,0,2,3,783,3,4,0.0,19,5,0
41,2012,0,66,1184,63,126.2,29,3,22170,5,1,0,0,200,0,4,1.0,0,0,0
9,1788,0,84,545,62,155.6,31,129,22620,18,0,0,0,200,1,136,4.0,1,0,0
10,1342,0,456,1044,203,56.3,1212,0,3239,11,6,19,9,550,0,9,3.0,2,4,0
174,3065,1,622,1221,526,137.4,68,4,24090,59,2,7,2,200,0,31,22.0,56,6,0
35,2073,6,822,830,205,130.0,21,1,14304,26,1,0,1,200,0,1,2.0,4,3,0
54,1732,2,274,2221,614,170.6,67,4,30570,17,0,5,2,562,3,2,3.0,2,11,0
107,3060,0,409,351,535,136.2,40,8,10153,7,1,1,33,200,0,2,0.0,11,9,0
2901,3009,8,101,397,71,142.8,18,46,25950,5,0,3,5,200,0,4,1.0,2,0,0
17,2456,11,20,979,29,137.1,9,1,21310,0,0,0,4,200,4,0,0.0,0,0,0
209,2034,9,225,446,188,139.3,86,159,24010,10,0,0,6,200,0,4,0.0,4,2,0
26,1800,38,451,1214,164,136.4,18,4,24420,9,0,3,6,200,4,2,27.0,2,3,1
13,1720,3,432,2572,256,143.7,28,5,30420,69,1,5,14,200,0,0,8.0,3,2,1
60,1674,0,165,539,204,149.1,33,2,19400,15,0,1,1,200,0,21,2.0,2,2,0
171,3473,0,110,595,121,136.4,37,1,29340,6,2,1,0,200,0,5,2.0,3,1,0
42,1000,5,698,2333,96,137.1,38,160,37930,2,0,1,267,200,0,3,2.0,0,1,0
3750,3753,7,18,1070,24,113.2,1271,6,10120,56,0,0,5,200,0,8,1.0,0,0,0
3337,7287,2,31,261,19,127.6,39,464,22540,2,2,0,2,200,0,2,0.0,0,0,0
3192,1959,10,10507,2424,8105,200.9,700,106,27120,4396,10,9,1478,200,0,22,52.0,81,79,0
2565,1737,0,970,1045,245,57.4,1114,16,3279,8,2,14,5,200,1,6,0.0,3,5,0
22,1396,1,200,2528,435,141.6,4,3,38900,2,3,2,1,596,5,0,4.0,1,3,0
2863,3511,1,227,200,196,138.9,124,358,7787,31,0,3,2,200,0,4,1.0,2,2,0
31,2137,0,4364,1145,1014,55.6,1431,0,3166,23,12,15,205,1250,0,11,0.0,5,102,0
2690,2088,4,48,2416,93,141.9,57,63,34730,6,10,3,4,200,0,1,5.0,2,1,0
484,2944,0,93,895,71,126.3,18,7,19670,2,0,0,17,200,2,0,0.0,1,1,0
142,1347,0,1410,1457,4133,163.8,62,18,25530,721,2,14,7,547,0,230,23.0,81,48,0
2170,4538,1,18,1076,63,126.2,490,5,15640,6,91,0,2,200,0,3,2.0,0,0,0
3293,1561,3,995,1234,151,129.0,35,0,16190,12,0,8,0,200,0,2,1.0,1,2,0
2,5284,1,570,226,244,127.0,24,1,18140,7,0,2,0,200,0,2,2.0,5,4,0
2477,1324,1,46,1081,26,112.5,1259,0,9518,59,0,1,14,200,0,9,5.0,0,0,0
3492,1352,4,36,295,29,147.8,20,100,20930,12,0,0,16,552,3,0,0.0,0,0,0
32,6193,0,270,191,270,143.9,108,0,5756,8,0,2,144,200,0,1,4.0,5,6,0
3253,1366,2,261,1189,110,67.9,1050,109,6797,4,0,3,3,200,3,3,0.0,1,2,0
58,5809,4,2705,520,69,148.5,8,3,27740,2,0,2,0,375,0,2,0.0,0,1,0
2745,4595,0,134,905,59,130.6,21,87,23960,5,0,3,0,375,0,0,1.0,1,0,0
2783,2711,4,259,630,182,134.8,7,0,23370,7,0,0,2,200,0,0,2.0,1,1,0
3054,4204,2,2920,1150,1201,57.7,1366,392,3391,19,9,17,253,550,0,11,3.0,5,96,0
4278,2902,3,51,1322,63,110.8,1425,129,4599,69,0,20,16,683,0,12,2.0,0,2,0
2933,6221,3,127,1143,158,58.6,1313,346,8676,18,2,0,30,200,0,9,1.0,1,10,0
189,1655,84,63,264,76,133.3,12,6,18930,2,0,0,2,200,4,0,0.0,0,1,1
52,1364,1,10,1047,57,126.1,30,172,20280,1,0,3,10,200,0,0,0.0,0,1,0
40,1369,3,108,1065,81,128.9,8,149,19260,5,0,0,0,200,1,0,2.0,0,0,0
129,1375,4,786,259,352,125.9,18,10,18740,8,0,2,0,575,0,0,0.0,9,6,0
19,1988,2,184,1141,227,71.3,1399,108,11070,25,8,13,8,830,0,9,3.0,4,6,0
2595,1335,6,28,1044,163,187.9,12,3,28790,2,2,1,5,535,3,5,0.0,0,0,0
2595,1185,3,32,1142,44,117.2,867,1,11090,6,153,3,32,385,3,8,1.0,0,0,0
6,3144,6,162,980,95,57.0,1221,0,3319,9,3,19,3,200,1,6,1.0,2,4,0
2995,3457,6,81,1878,152,118.3,105,105,23640,2,2,4,2,200,0,1,0.0,1,3,0
2917,2530,4,37,2353,65,140.1,6,118,35340,0,4,0,0,200,0,0,4.0,0,0,0
3419,6656,6,167,945,129,56.7,1097,5,3369,7,2,2,20,614,0,11,1.0,1,3,0
2330,1268,7,120,423,166,150.3,32,3,21240,3,0,4,12,468,5,4,6.0,3,3,0
3080,71223,2,466,1011,429,124.8,65,2,19370,52,5,2,24,200,0,15,3.0,8,6,0
198,1730,3,447,206,313,145.0,151,10,5384,9,0,3,230,200,0,2,0.0,7,9,0
126,3484,0,110,955,86,134.2,22,0,20520,12,0,0,0,200,0,2,1.0,0,0,0
2711,1235,6,637,809,207,124.5,16,32,16530,41,0,6,0,200,5,0,5.0,8,4,0
408,3519,2032,442,339,1261,156.6,17,1,24320,240,1,3,4,200,26,4,7.0,9,8,1
77,4219,8,102,814,97,129.3,21,70,18370,11,0,0,0,200,0,0,1.0,0,0,0
38,1371,3,27,701,29,135.6,22,2,24950,3,0,1,0,200,1,0,1.0,1,0,0
30,1381,42,149,1794,86,130.8,57,2,26350,2,4,5,0,375,2,1,0.0,1,0,0
11,1343,0,183,909,135,132.5,10,104,22130,23,0,4,0,200,0,0,1.0,2,1,0
22,3499,2,563,977,405,134.7,9,180,22910,117,0,2,1,200,0,3,3.0,4,4,0
3241,3983,3,333,904,50,135.1,25,440,24150,1,0,0,18,200,0,0,1.0,2,0,0
629,7081,1,54,2477,92,136.5,30,2,32740,3,1,3,6,200,1,2,0.0,0,0,0
11,2155,0,115,564,53,124.1,762,202,7290,15,24,18,0,200,0,4,113.0,0,0,0
2561,1352,9,87,2239,209,110.5,381,188,32740,5,3,9,10,200,1,4,3.0,2,4,0
11,8182,0,465,722,351,123.8,146,7,14580,120,10,2,3,7200,0,0,6.0,3,4,0
16,2614,3,53,1005,51,133.1,28,154,21290,2,0,2,10,200,0,3,0.0,0,0,0
63,2399,0,21,2468,136,139.7,41,0,37760,2,9,4,3,200,0,4,1.0,1,2,0
144,1364,0,35,984,11,145.0,32,20,26340,1,0,0,2,564,0,2,3.0,0,0,0
3019,2234,9,6302,2370,1420,144.8,120,205,27200,556,2,10,152,200,0,17,20.0,18,19,0
27,2057,3,896,1099,1059,57.3,1095,1,4692,17,3,1,4,1257,2,4,0.0,6,13,0
2922,4910,9,67,1106,93,57.2,1258,189,9131,11,8,3,17,200,0,8,2.0,0,3,0
18,2076,0,2771,152,1619,299.3,118,12,7877,311,0,5,11,200,0,33,11.0,13,13,0
31,8474,0,9,332,22,141.1,48,4,21750,2,1,2,4,200,0,1,0.0,0,0,0
45,1924,0,289,357,289,313.9,37,2,17830,1,0,2,38,200,0,2,2.0,3,4,0
2075,1271,3,603,2076,2491,130.0,8,2,28810,13,8,3,5,200,5,0,0.0,12,21,0
77,2438,0,88,401,211,115.6,61,3,4699,2,0,3,82,550,0,0,2.0,4,4,0
3149,1470,1,21,563,83,138.5,26,3,20870,0,0,0,16,550,0,0,0.0,1,1,0
115,1000,2,8,442,30,124.1,18,12,17750,4,0,2,5,200,0,0,0.0,0,0,1
3075,1351,0,338,855,281,56.9,1024,109,7400,7,3,4,9,200,2,5,0.0,2,2,0
18,3748,0,28,1166,39,127.1,12,219,21970,1,0,0,8,200,0,0,0.0,0,0,0
47,2705,0,248,926,27,140.0,4,3,20520,1,0,0,0,200,0,0,0.0,0,0,0
3609,2120,1,329,1035,177,131.3,55,105,18850,44,7,1,0,200,0,0,3.0,0,2,0
155,11643,204,5598,385,2022,153.6,55,5,20970,1187,2,5,10,200,5,32,24.0,52,39,1
21,1392,2,171,541,25,145.7,17,60,20240,3,0,0,0,592,6,3,3.0,0,0,0
107,1701,0,7,2172,61,149.4,45,18,21430,10,2,6,0,901,0,1,0.0,0,0,0
272,1753,3,237,2153,373,175.3,11,186,33730,14,4,2,4,200,0,0,0.0,5,3,0
1369,4541,15,1476,489,516,159.8,18,186,18360,12,0,17,23,200,0,0,7.0,6,5,0
3156,1695,4,86,389,35,143.0,20,142,26910,15,0,1,0,200,0,12,2.0,0,0,0
27,3842,0,818,442,495,138.5,37,8,14530,148,0,7,2,200,0,9,8.0,8,7,0
102,1361,0,86,1463,328,166.8,25,17,23710,14,0,4,0,561,0,0,2.0,3,3,0
163,1520,0,1912,276,136,179.7,29,13,6997,23,0,7,6,720,0,1,0.0,3,4,0
15,5710,1,666,1446,41,131.2,6,5,24290,3,0,0,0,200,0,1,5.0,0,0,0
3016,4012,1,53,306,92,137.6,31,0,19320,2,0,0,3,200,0,4,1.0,1,1,0
442,3164,1,175,846,117,128.7,14,57,19050,6,0,1,0,200,0,2,1.0,0,1,0
2749,3249,3,134,129,122,136.0,32,122,6154,3,0,0,6,200,0,0,0.0,1,1,0
56,3498,0,4555,199,1204,164.4,32,0,21360,462,0,5,7,200,0,5,26.0,6,10,0
3131,2141,2,79,201,220,148.5,23,87,5169,15,1,0,21,200,4,2,2.0,4,4,0
29,2061,0,210,803,52,149.2,7,10,20300,3,0,0,1,200,0,0,1.0,1,1,0
36,6787,0,50,837,17,120.6,9,1,30140,2,0,1,0,200,0,0,0.0,0,0,0
2753,1369,2,156,2151,212,181.4,22,4,30640,15,2,3,11,200,0,0,0.0,2,2,0
21,2008,5,25,2361,93,143.8,76,2,27860,21,10,4,2,200,0,11,2.0,3,2,0
3190,1390,4,50,2427,142,141.5,6,98,40320,1,5,2,0,590,3,1,1.0,0,1,0
3641,3447,6,303,1090,141,63.5,1176,214,4079,6,2,3,27,200,0,8,2.0,1,1,0
2915,4198,0,16,1041,16,114.9,1271,87,5780,32,0,12,5,550,0,11,4.0,0,0,0
3759,35658,6,93,1428,60,136.4,11,40,26230,3,0,2,0,200,1,1,0.0,3,0,0
65,2432,0,124,1038,84,132.2,25,5,21940,3,0,0,0,200,0,0,0.0,2,0,0
57,6676,0,18,191,22,146.7,61,6,12050,10,2,0,4,200,0,0,3.0,0,0,0
43,1161,1,6897,2406,786,142.7,61,0,27060,432,0,2,96,200,3,7,10.0,12,15,0
71,3947,0,24,970,15,128.2,7,178,17010,2,0,0,4,200,0,0,0.0,0,0,0
3149,1489,9,332,2713,97,146.7,36,65,31210,14,0,5,6,200,3,1,0.0,4,3,0
2894,2670,8,360,837,76,129.9,14,178,15470,11,0,9,1,200,0,1,2.0,2,1,0
193,2558,0,986,723,143,133.4,102,2,13430,58,14,0,0,200,0,0,4.0,1,2,0
88,4256,0,26,770,26,132.4,42,136,15150,2,6,0,7,200,0,0,1.0,0,0,0
20,1697,72,385,553,385,144.8,7,2,15790,207,0,3,0,897,0,0,0.0,4,2,1
21,3753,6,89,345,33,147.3,15,25,15180,5,0,0,0,200,0,0,0.0,0,0,0
114,1399,0,951,718,142,162.9,16,19,22370,8,0,1,0,599,0,4,0.0,1,1,0
2958,1704,6,522,1193,84,72.1,1335,80,11880,11,2,22,7,200,0,8,2.0,2,2,0
3482,5044,8,133,773,160,142.6,18,149,20820,3,0,0,11,200,0,2,1.0,2,2,0
249,1000,0,144,221,187,155.6,5,16,19610,12,0,0,0,200,0,2,2.0,1,1,0
3573,4531,1,35,1311,24,110.0,1413,138,6173,68,0,16,13,533,0,13,0.0,0,0,0
3464,1351,2,974,1074,239,125.9,36,110,18100,19,0,0,4,550,3,2,2.0,4,2,0
2443,1170,5,255,281,183,184.1,17,19,8223,3,0,4,1,370,6,1,2.0,5,4,0
15,2876,4,394,116,129,147.4,6,169,16030,7,0,0,1,200,0,0,0.0,2,1,0
3173,2012,11,104,934,56,133.4,22,152,21680,1,0,0,24,200,0,0,1.0,2,0,0
3522,2048,3,2052,470,143,174.6,33,22,19040,6,0,3,0,200,0,2,2.0,2,2,0
42,4248,0,2829,527,89,132.5,21,1,32420,4,0,0,0,3350,0,0,2.0,1,1,0
2772,1770,4,293,1209,578,69.6,1469,78,9123,25,13,7,13,550,0,7,0.0,5,7,0
51,1368,2,6,368,28,134.2,106,0,17830,2,0,1,23,568,5,1,1.0,0,0,0
2346,1213,5,3696,1010,1180,136.3,7,2,22220,497,0,7,6,413,5,16,11.0,11,13,0
3564,3875,0,424,948,347,305.5,36,127,33350,202,0,14,0,900,0,32,6.0,3,6,0
64,4847,1,59,1033,343,124.7,42,3,20640,3,1,0,32,200,0,2,1.0,4,4,0
6,1214,6,58,902,85,127.8,34,0,20670,1,0,0,33,414,1,0,0.0,0,1,1
38,2118,0,5,493,19,142.0,24,3,14420,8,0,0,9,590,0,2,0.0,0,0,0
1959,5401,3,4099,455,110,141.5,24,5,21830,35,0,2,0,200,0,8,9.0,1,2,0
28,2190,0,128,393,261,124.4,129,166,28400,19,6,1,0,200,0,4,2.0,4,2,0
3443,1800,15,10,503,102,145.0,24,458,11780,3,0,2,18,200,0,0,5.0,2,2,0
2707,4738,10,1283,915,267,128.4,22,97,19510,12,0,2,6,200,0,2,2.0,5,5,0
2215,1178,3,157,969,121,130.5,21,4,20710,18,2,3,2,378,2,2,2.0,1,1,0
14,1730,3,2776,1153,233,141.1,196,2,30030,7,2,3,58,200,0,2,1.0,2,6,0
48,1000,12,45,1124,14,146.1,8,2,30710,0,0,2,20,200,0,0,0.0,0,0,0
112,5949,0,96,197,86,148.4,8,11,14660,7,0,2,0,200,0,3,1.0,0,0,0
160,1719,0,4833,381,238,136.1,25,133,17710,10,0,7,0,200,0,0,6.0,5,4,0
110,1720,0,490,281,451,126.6,17,0,19790,8,0,5,0,200,1,1,0.0,11,7,0
136,1755,1,84,668,151,128.5,65,18,23170,5,0,2,2,200,0,0,0.0,2,1,0
2265,8246,4,77,269,35,194.7,41,231,11240,1,0,1,0,410,0,0,0.0,0,0,0
70,4875,1,212,255,84,162.9,174,2,10640,9,0,5,5,200,0,0,1.0,1,2,0
32,4194,306,1236,360,258,130.5,149,121,17690,10,11,5,5,200,3,2,1.0,4,3,1
23,1632,4,81,2271,60,154.0,16,3,26490,3,0,1,1,550,3,0,0.0,1,1,0
3451,3438,5,164,989,33,140.7,7,444,22180,2,0,0,0,200,0,0,1.0,0,0,0
16,1829,1,69,980,102,131.8,81,2,21450,4,3,4,0,200,10,0,0.0,2,1,0
36,1361,1,47,334,35,143.2,13,1,18300,5,0,1,0,200,0,17,2.0,0,0,0
3024,4725,4,234,443,60,149.6,108,21,19440,7,4,0,0,200,0,0,2.0,0,0,0
128,1675,0,21,844,75,96.8,20,18,16240,2,0,1,16,200,0,0,0.0,0,0,0
10,1441,5,10,2401,499,148.5,128,71,26600,2,0,6,17,200,2,2,2.0,3,6,0
23,1683,496,212,992,121,138.5,19,149,19160,9,0,9,2,200,2,4,0.0,2,2,1
3485,6990,0,124,284,85,125.2,12,4,18820,27,0,1,0,593,0,5,0.0,4,0,0
124,3522,1,78,2569,69,139.3,13,12,37000,0,1,1,0,611,0,6,0.0,0,0,0
16,3918,1,554,235,161,147.1,24,66,15980,15,0,3,0,200,0,5,1.0,3,1,0
24,1709,1,201,932,207,154.7,37,19,26900,18,1,4,0,547,0,5,3.0,5,4,0
3296,3146,2,4052,165,1053,207.7,13,1,23350,493,1,11,4,427,0,12,25.0,8,9,0
148,1345,0,88,2187,117,174.9,15,20,28470,11,1,2,4,200,0,2,0.0,1,1,0
132,1672,0,1653,433,153,139.4,18,17,15050,2,0,3,0,872,1,1,5.0,1,2,0
2813,5888,3,755,429,109,160.0,8,1,27230,9,0,0,6,200,0,2,1.0,2,1,0
